Leading Cancer Sites,Leading Cancer Sites Code,Year,Sex,Sex Code,Race,Race Code,Count
Colon and Rectum,21041-21052,2021,Female,F,Asian or Pacific Islander,A-PI,154.0
Colon and Rectum,21041-21052,2021,Female,F,Black or African American,2054-5,376.0
Colon and Rectum,21041-21052,2021,Female,F,White,2106-3,2055.0
Colon and Rectum,21041-21052,2021,Female,F,Other Races and Unknown combined,2131-1,102.0
Colon and Rectum,21041-21052,2021,Male,M,American Indian or Alaska Native,1002-5,27.0
Colon and Rectum,21041-21052,2021,Male,M,Asian or Pacific Islander,A-PI,157.0
Colon and Rectum,21041-21052,2021,Male,M,Black or African American,2054-5,355.0
Colon and Rectum,21041-21052,2021,Male,M,White,2106-3,1940.0
Colon and Rectum,21041-21052,2021,Male,M,Other Races and Unknown combined,2131-1,97.0
Corpus Uteri,27020,1999,Female,F,American Indian or Alaska Native,1002-5,20.0
Corpus Uteri,27020,1999,Female,F,Asian or Pacific Islander,A-PI,54.0
Corpus Uteri,27020,1999,Female,F,Black or African American,2054-5,118.0
Corpus Uteri,27020,1999,Female,F,White,2106-3,1007.0
Corpus Uteri,27020,1999,Female,F,Other Races and Unknown combined,2131-1,16.0
Corpus Uteri,27020,2000,Female,F,Asian or Pacific Islander,A-PI,53.0
Corpus Uteri,27020,2000,Female,F,Black or African American,2054-5,120.0
Corpus Uteri,27020,2000,Female,F,White,2106-3,992.0
Corpus Uteri,27020,2001,Female,F,American Indian or Alaska Native,1002-5,25.0
Corpus Uteri,27020,2001,Female,F,Asian or Pacific Islander,A-PI,57.0
Corpus Uteri,27020,2001,Female,F,Black or African American,2054-5,141.0
Corpus Uteri,27020,2001,Female,F,White,2106-3,971.0
Corpus Uteri,27020,2001,Female,F,Other Races and Unknown combined,2131-1,17.0
Corpus Uteri,27020,2002,Female,F,Asian or Pacific Islander,A-PI,68.0
Corpus Uteri,27020,2002,Female,F,Black or African American,2054-5,150.0
Corpus Uteri,27020,2002,Female,F,White,2106-3,1011.0
Corpus Uteri,27020,2002,Female,F,Other Races and Unknown combined,2131-1,17.0
Corpus Uteri,27020,2003,Female,F,Asian or Pacific Islander,A-PI,60.0
Corpus Uteri,27020,2003,Female,F,Black or African American,2054-5,123.0
Corpus Uteri,27020,2003,Female,F,White,2106-3,1060.0
Corpus Uteri,27020,2003,Female,F,Other Races and Unknown combined,2131-1,21.0
Corpus Uteri,27020,2004,Female,F,Asian or Pacific Islander,A-PI,91.0
Corpus Uteri,27020,2004,Female,F,Black or African American,2054-5,140.0
Corpus Uteri,27020,2004,Female,F,White,2106-3,1067.0
Corpus Uteri,27020,2004,Female,F,Other Races and Unknown combined,2131-1,19.0
Corpus Uteri,27020,2005,Female,F,American Indian or Alaska Native,1002-5,22.0
Corpus Uteri,27020,2005,Female,F,Asian or Pacific Islander,A-PI,89.0
Corpus Uteri,27020,2005,Female,F,Black or African American,2054-5,167.0
Corpus Uteri,27020,2005,Female,F,White,2106-3,1064.0
Corpus Uteri,27020,2005,Female,F,Other Races and Unknown combined,2131-1,23.0
Corpus Uteri,27020,2006,Female,F,American Indian or Alaska Native,1002-5,24.0
Corpus Uteri,27020,2006,Female,F,Asian or Pacific Islander,A-PI,73.0
Corpus Uteri,27020,2006,Female,F,Black or African American,2054-5,131.0
Corpus Uteri,27020,2006,Female,F,White,2106-3,1136.0
Corpus Uteri,27020,2006,Female,F,Other Races and Unknown combined,2131-1,16.0
Corpus Uteri,27020,2007,Female,F,American Indian or Alaska Native,1002-5,31.0
Corpus Uteri,27020,2007,Female,F,Asian or Pacific Islander,A-PI,87.0
Corpus Uteri,27020,2007,Female,F,Black or African American,2054-5,135.0
Corpus Uteri,27020,2007,Female,F,White,2106-3,1161.0
Corpus Uteri,27020,2007,Female,F,Other Races and Unknown combined,2131-1,34.0
Corpus Uteri,27020,2008,Female,F,American Indian or Alaska Native,1002-5,27.0
Corpus Uteri,27020,2008,Female,F,Asian or Pacific Islander,A-PI,105.0
Corpus Uteri,27020,2008,Female,F,Black or African American,2054-5,163.0
Corpus Uteri,27020,2008,Female,F,White,2106-3,1200.0
Corpus Uteri,27020,2008,Female,F,Other Races and Unknown combined,2131-1,26.0
Corpus Uteri,27020,2009,Female,F,American Indian or Alaska Native,1002-5,25.0
Corpus Uteri,27020,2009,Female,F,Asian or Pacific Islander,A-PI,103.0
Corpus Uteri,27020,2009,Female,F,Black or African American,2054-5,199.0
Corpus Uteri,27020,2009,Female,F,White,2106-3,1227.0
Corpus Uteri,27020,2009,Female,F,Other Races and Unknown combined,2131-1,19.0
Corpus Uteri,27020,2010,Female,F,American Indian or Alaska Native,1002-5,24.0
Corpus Uteri,27020,2010,Female,F,Asian or Pacific Islander,A-PI,108.0
Corpus Uteri,27020,2010,Female,F,Black or African American,2054-5,180.0
Corpus Uteri,27020,2010,Female,F,White,2106-3,1188.0
Corpus Uteri,27020,2010,Female,F,Other Races and Unknown combined,2131-1,25.0
Corpus Uteri,27020,2011,Female,F,American Indian or Alaska Native,1002-5,26.0
Corpus Uteri,27020,2011,Female,F,Asian or Pacific Islander,A-PI,114.0
Corpus Uteri,27020,2011,Female,F,Black or African American,2054-5,183.0
Corpus Uteri,27020,2011,Female,F,White,2106-3,1253.0
Corpus Uteri,27020,2011,Female,F,Other Races and Unknown combined,2131-1,27.0
Corpus Uteri,27020,2012,Female,F,American Indian or Alaska Native,1002-5,34.0
Corpus Uteri,27020,2012,Female,F,Asian or Pacific Islander,A-PI,119.0
Corpus Uteri,27020,2012,Female,F,Black or African American,2054-5,199.0
Corpus Uteri,27020,2012,Female,F,White,2106-3,1291.0
Corpus Uteri,27020,2012,Female,F,Other Races and Unknown combined,2131-1,28.0
Corpus Uteri,27020,2013,Female,F,American Indian or Alaska Native,1002-5,32.0
Corpus Uteri,27020,2013,Female,F,Asian or Pacific Islander,A-PI,142.0
Corpus Uteri,27020,2013,Female,F,Black or African American,2054-5,206.0
Corpus Uteri,27020,2013,Female,F,White,2106-3,1199.0
Corpus Uteri,27020,2013,Female,F,Other Races and Unknown combined,2131-1,30.0
Corpus Uteri,27020,2014,Female,F,American Indian or Alaska Native,1002-5,31.0
Corpus Uteri,27020,2014,Female,F,Asian or Pacific Islander,A-PI,135.0
Corpus Uteri,27020,2014,Female,F,Black or African American,2054-5,205.0
Corpus Uteri,27020,2014,Female,F,White,2106-3,1418.0
Corpus Uteri,27020,2014,Female,F,Other Races and Unknown combined,2131-1,43.0
Corpus Uteri,27020,2015,Female,F,American Indian or Alaska Native,1002-5,23.0
Corpus Uteri,27020,2015,Female,F,Asian or Pacific Islander,A-PI,147.0
Corpus Uteri,27020,2015,Female,F,Black or African American,2054-5,242.0
Corpus Uteri,27020,2015,Female,F,White,2106-3,1474.0
Corpus Uteri,27020,2015,Female,F,Other Races and Unknown combined,2131-1,38.0
Corpus Uteri,27020,2016,Female,F,American Indian or Alaska Native,1002-5,29.0
Corpus Uteri,27020,2016,Female,F,Asian or Pacific Islander,A-PI,140.0
Corpus Uteri,27020,2016,Female,F,Black or African American,2054-5,240.0
Corpus Uteri,27020,2016,Female,F,White,2106-3,1482.0
Corpus Uteri,27020,2016,Female,F,Other Races and Unknown combined,2131-1,46.0
Corpus Uteri,27020,2017,Female,F,American Indian or Alaska Native,1002-5,23.0
Corpus Uteri,27020,2017,Female,F,Asian or Pacific Islander,A-PI,166.0
Corpus Uteri,27020,2017,Female,F,Black or African American,2054-5,243.0
Corpus Uteri,27020,2017,Female,F,White,2106-3,1501.0
Corpus Uteri,27020,2017,Female,F,Other Races and Unknown combined,2131-1,51.0
Corpus Uteri,27020,2018,Female,F,American Indian or Alaska Native,1002-5,36.0
Corpus Uteri,27020,2018,Female,F,Asian or Pacific Islander,A-PI,196.0
Corpus Uteri,27020,2018,Female,F,Black or African American,2054-5,210.0
Corpus Uteri,27020,2018,Female,F,White,2106-3,1552.0
Corpus Uteri,27020,2018,Female,F,Other Races and Unknown combined,2131-1,53.0
Corpus Uteri,27020,2019,Female,F,American Indian or Alaska Native,1002-5,43.0
Corpus Uteri,27020,2019,Female,F,Asian or Pacific Islander,A-PI,204.0
Corpus Uteri,27020,2019,Female,F,Black or African American,2054-5,232.0
Corpus Uteri,27020,2019,Female,F,White,2106-3,1558.0
Corpus Uteri,27020,2019,Female,F,Other Races and Unknown combined,2131-1,74.0
Corpus Uteri,27020,2020,Female,F,American Indian or Alaska Native,1002-5,39.0
Corpus Uteri,27020,2020,Female,F,Asian or Pacific Islander,A-PI,174.0
Corpus Uteri,27020,2020,Female,F,Black or African American,2054-5,223.0
Corpus Uteri,27020,2020,Female,F,White,2106-3,1438.0
Corpus Uteri,27020,2020,Female,F,Other Races and Unknown combined,2131-1,71.0
Corpus Uteri,27020,2021,Female,F,American Indian or Alaska Native,1002-5,38.0
Corpus Uteri,27020,2021,Female,F,Asian or Pacific Islander,A-PI,198.0
Corpus Uteri,27020,2021,Female,F,Black or African American,2054-5,214.0
Corpus Uteri,27020,2021,Female,F,White,2106-3,1608.0
Corpus Uteri,27020,2021,Female,F,Other Races and Unknown combined,2131-1,97.0
Esophagus,21010,1999,Female,F,White,2106-3,21.0
Esophagus,21010,1999,Male,M,White,2106-3,103.0
Esophagus,21010,2000,Female,F,White,2106-3,16.0
Esophagus,21010,2000,Male,M,White,2106-3,133.0
Esophagus,21010,2001,Female,F,White,2106-3,36.0
Esophagus,21010,2001,Male,M,White,2106-3,98.0
Esophagus,21010,2002,Male,M,White,2106-3,90.0
Esophagus,21010,2003,Female,F,White,2106-3,24.0
Esophagus,21010,2003,Male,M,White,2106-3,106.0
Esophagus,21010,2004,Female,F,White,2106-3,22.0
Esophagus,21010,2004,Male,M,White,2106-3,112.0
Esophagus,21010,2005,Female,F,White,2106-3,19.0
Esophagus,21010,2005,Male,M,White,2106-3,108.0
Esophagus,21010,2006,Female,F,White,2106-3,22.0
Esophagus,21010,2006,Male,M,White,2106-3,90.0
Esophagus,21010,2007,Female,F,White,2106-3,16.0
Esophagus,21010,2007,Male,M,White,2106-3,113.0
Esophagus,21010,2008,Female,F,White,2106-3,26.0
Esophagus,21010,2008,Male,M,White,2106-3,118.0
Esophagus,21010,2009,Female,F,White,2106-3,18.0
Esophagus,21010,2009,Male,M,White,2106-3,107.0
Esophagus,21010,2010,Male,M,White,2106-3,94.0
Esophagus,21010,2011,Female,F,White,2106-3,23.0
Esophagus,21010,2011,Male,M,White,2106-3,109.0
Esophagus,21010,2012,Female,F,White,2106-3,30.0
Esophagus,21010,2012,Male,M,White,2106-3,91.0
Esophagus,21010,2013,Female,F,White,2106-3,23.0
Esophagus,21010,2013,Male,M,White,2106-3,97.0
Esophagus,21010,2014,Female,F,White,2106-3,28.0
Esophagus,21010,2014,Male,M,White,2106-3,111.0
Esophagus,21010,2015,Female,F,White,2106-3,24.0
Esophagus,21010,2015,Male,M,White,2106-3,89.0
Esophagus,21010,2016,Female,F,White,2106-3,23.0
Esophagus,21010,2016,Male,M,White,2106-3,110.0
Esophagus,21010,2017,Female,F,White,2106-3,25.0
Esophagus,21010,2017,Male,M,White,2106-3,99.0
Esophagus,21010,2018,Female,F,White,2106-3,20.0
Esophagus,21010,2018,Male,M,White,2106-3,139.0
Esophagus,21010,2019,Female,F,White,2106-3,27.0
Esophagus,21010,2019,Male,M,White,2106-3,126.0
Esophagus,21010,2020,Female,F,White,2106-3,23.0
Esophagus,21010,2020,Male,M,White,2106-3,96.0
Esophagus,21010,2021,Female,F,White,2106-3,24.0
Esophagus,21010,2021,Male,M,White,2106-3,114.0
Gallbladder,21080,2000,Female,F,White,2106-3,22.0
Gallbladder,21080,2001,Female,F,White,2106-3,22.0
Gallbladder,21080,2003,Female,F,White,2106-3,17.0
Gallbladder,21080,2005,Female,F,White,2106-3,23.0
Gallbladder,21080,2006,Female,F,White,2106-3,24.0
Gallbladder,21080,2007,Female,F,White,2106-3,25.0
Gallbladder,21080,2008,Female,F,White,2106-3,22.0
Gallbladder,21080,2009,Female,F,White,2106-3,19.0
Gallbladder,21080,2010,Female,F,White,2106-3,19.0
Gallbladder,21080,2013,Female,F,White,2106-3,22.0
Gallbladder,21080,2014,Female,F,White,2106-3,25.0
Gallbladder,21080,2015,Female,F,White,2106-3,19.0
Gallbladder,21080,2017,Female,F,White,2106-3,19.0
Gallbladder,21080,2018,Female,F,White,2106-3,21.0
Gallbladder,21080,2020,Female,F,White,2106-3,18.0
Gallbladder,21080,2021,Female,F,White,2106-3,22.0
Kidney and Renal Pelvis,29020,1999,Female,F,Black or African American,2054-5,80.0
Kidney and Renal Pelvis,29020,1999,Female,F,White,2106-3,392.0
Kidney and Renal Pelvis,29020,1999,Male,M,Black or African American,2054-5,88.0
Kidney and Renal Pelvis,29020,1999,Male,M,White,2106-3,516.0
Kidney and Renal Pelvis,29020,2000,Female,F,Black or African American,2054-5,85.0
Kidney and Renal Pelvis,29020,2000,Female,F,White,2106-3,368.0
Kidney and Renal Pelvis,29020,2000,Male,M,Black or African American,2054-5,113.0
Kidney and Renal Pelvis,29020,2000,Male,M,White,2106-3,549.0
Kidney and Renal Pelvis,29020,2001,Female,F,Black or African American,2054-5,102.0
Kidney and Renal Pelvis,29020,2001,Female,F,White,2106-3,422.0
Kidney and Renal Pelvis,29020,2001,Male,M,Asian or Pacific Islander,A-PI,21.0
Kidney and Renal Pelvis,29020,2001,Male,M,Black or African American,2054-5,113.0
Kidney and Renal Pelvis,29020,2001,Male,M,White,2106-3,581.0
Kidney and Renal Pelvis,29020,2002,Female,F,Black or African American,2054-5,100.0
Kidney and Renal Pelvis,29020,2002,Female,F,White,2106-3,422.0
Kidney and Renal Pelvis,29020,2002,Male,M,Asian or Pacific Islander,A-PI,25.0
Kidney and Renal Pelvis,29020,2002,Male,M,Black or African American,2054-5,101.0
Kidney and Renal Pelvis,29020,2002,Male,M,White,2106-3,637.0
Kidney and Renal Pelvis,29020,2003,Female,F,Black or African American,2054-5,88.0
Kidney and Renal Pelvis,29020,2003,Female,F,White,2106-3,464.0
Kidney and Renal Pelvis,29020,2003,Male,M,Asian or Pacific Islander,A-PI,26.0
Kidney and Renal Pelvis,29020,2003,Male,M,Black or African American,2054-5,118.0
Kidney and Renal Pelvis,29020,2003,Male,M,White,2106-3,692.0
Kidney and Renal Pelvis,29020,2004,Female,F,Asian or Pacific Islander,A-PI,19.0
Kidney and Renal Pelvis,29020,2004,Female,F,Black or African American,2054-5,95.0
Kidney and Renal Pelvis,29020,2004,Female,F,White,2106-3,519.0
Kidney and Renal Pelvis,29020,2004,Male,M,Asian or Pacific Islander,A-PI,22.0
Kidney and Renal Pelvis,29020,2004,Male,M,Black or African American,2054-5,143.0
Kidney and Renal Pelvis,29020,2004,Male,M,White,2106-3,733.0
Kidney and Renal Pelvis,29020,2005,Female,F,Black or African American,2054-5,101.0
Kidney and Renal Pelvis,29020,2005,Female,F,White,2106-3,558.0
Kidney and Renal Pelvis,29020,2005,Male,M,Black or African American,2054-5,126.0
Kidney and Renal Pelvis,29020,2005,Male,M,White,2106-3,755.0
Kidney and Renal Pelvis,29020,2005,Male,M,Other Races and Unknown combined,2131-1,16.0
Kidney and Renal Pelvis,29020,2006,Female,F,Asian or Pacific Islander,A-PI,17.0
Kidney and Renal Pelvis,29020,2006,Female,F,Black or African American,2054-5,125.0
Kidney and Renal Pelvis,29020,2006,Female,F,White,2106-3,568.0
Kidney and Renal Pelvis,29020,2006,Male,M,Asian or Pacific Islander,A-PI,36.0
Kidney and Renal Pelvis,29020,2006,Male,M,Black or African American,2054-5,150.0
Kidney and Renal Pelvis,29020,2006,Male,M,White,2106-3,851.0
Kidney and Renal Pelvis,29020,2006,Male,M,Other Races and Unknown combined,2131-1,20.0
Kidney and Renal Pelvis,29020,2007,Female,F,American Indian or Alaska Native,1002-5,16.0
Kidney and Renal Pelvis,29020,2007,Female,F,Asian or Pacific Islander,A-PI,25.0
Kidney and Renal Pelvis,29020,2007,Female,F,Black or African American,2054-5,100.0
Kidney and Renal Pelvis,29020,2007,Female,F,White,2106-3,676.0
Kidney and Renal Pelvis,29020,2007,Male,M,American Indian or Alaska Native,1002-5,22.0
Kidney and Renal Pelvis,29020,2007,Male,M,Asian or Pacific Islander,A-PI,29.0
Kidney and Renal Pelvis,29020,2007,Male,M,Black or African American,2054-5,151.0
Kidney and Renal Pelvis,29020,2007,Male,M,White,2106-3,822.0
Kidney and Renal Pelvis,29020,2008,Female,F,Asian or Pacific Islander,A-PI,30.0
Kidney and Renal Pelvis,29020,2008,Female,F,Black or African American,2054-5,111.0
Kidney and Renal Pelvis,29020,2008,Female,F,White,2106-3,666.0
Kidney and Renal Pelvis,29020,2008,Male,M,American Indian or Alaska Native,1002-5,17.0
Kidney and Renal Pelvis,29020,2008,Male,M,Asian or Pacific Islander,A-PI,33.0
Kidney and Renal Pelvis,29020,2008,Male,M,Black or African American,2054-5,153.0
Kidney and Renal Pelvis,29020,2008,Male,M,White,2106-3,954.0
Kidney and Renal Pelvis,29020,2008,Male,M,Other Races and Unknown combined,2131-1,22.0
Kidney and Renal Pelvis,29020,2009,Female,F,Asian or Pacific Islander,A-PI,30.0
Kidney and Renal Pelvis,29020,2009,Female,F,Black or African American,2054-5,138.0
Kidney and Renal Pelvis,29020,2009,Female,F,White,2106-3,706.0
Kidney and Renal Pelvis,29020,2009,Male,M,American Indian or Alaska Native,1002-5,17.0
Kidney and Renal Pelvis,29020,2009,Male,M,Asian or Pacific Islander,A-PI,39.0
Kidney and Renal Pelvis,29020,2009,Male,M,Black or African American,2054-5,181.0
Kidney and Renal Pelvis,29020,2009,Male,M,White,2106-3,937.0
Kidney and Renal Pelvis,29020,2009,Male,M,Other Races and Unknown combined,2131-1,20.0
Kidney and Renal Pelvis,29020,2010,Female,F,American Indian or Alaska Native,1002-5,18.0
Kidney and Renal Pelvis,29020,2010,Female,F,Asian or Pacific Islander,A-PI,24.0
Kidney and Renal Pelvis,29020,2010,Female,F,Black or African American,2054-5,125.0
Kidney and Renal Pelvis,29020,2010,Female,F,White,2106-3,744.0
Kidney and Renal Pelvis,29020,2010,Female,F,Other Races and Unknown combined,2131-1,18.0
Kidney and Renal Pelvis,29020,2010,Male,M,American Indian or Alaska Native,1002-5,22.0
Kidney and Renal Pelvis,29020,2010,Male,M,Asian or Pacific Islander,A-PI,42.0
Kidney and Renal Pelvis,29020,2010,Male,M,Black or African American,2054-5,167.0
Kidney and Renal Pelvis,29020,2010,Male,M,White,2106-3,994.0
Kidney and Renal Pelvis,29020,2010,Male,M,Other Races and Unknown combined,2131-1,23.0
Kidney and Renal Pelvis,29020,2011,Female,F,Asian or Pacific Islander,A-PI,25.0
Kidney and Renal Pelvis,29020,2011,Female,F,Black or African American,2054-5,132.0
Kidney and Renal Pelvis,29020,2011,Female,F,White,2106-3,703.0
Kidney and Renal Pelvis,29020,2011,Male,M,American Indian or Alaska Native,1002-5,19.0
Kidney and Renal Pelvis,29020,2011,Male,M,Asian or Pacific Islander,A-PI,46.0
Kidney and Renal Pelvis,29020,2011,Male,M,Black or African American,2054-5,159.0
Kidney and Renal Pelvis,29020,2011,Male,M,White,2106-3,973.0
Kidney and Renal Pelvis,29020,2011,Male,M,Other Races and Unknown combined,2131-1,23.0
Kidney and Renal Pelvis,29020,2012,Female,F,Asian or Pacific Islander,A-PI,24.0
Kidney and Renal Pelvis,29020,2012,Female,F,Black or African American,2054-5,137.0
Kidney and Renal Pelvis,29020,2012,Female,F,White,2106-3,753.0
Kidney and Renal Pelvis,29020,2012,Male,M,American Indian or Alaska Native,1002-5,23.0
Kidney and Renal Pelvis,29020,2012,Male,M,Asian or Pacific Islander,A-PI,46.0
Kidney and Renal Pelvis,29020,2012,Male,M,Black or African American,2054-5,164.0
Kidney and Renal Pelvis,29020,2012,Male,M,White,2106-3,992.0
Kidney and Renal Pelvis,29020,2012,Male,M,Other Races and Unknown combined,2131-1,16.0
Kidney and Renal Pelvis,29020,2013,Female,F,Asian or Pacific Islander,A-PI,27.0
Kidney and Renal Pelvis,29020,2013,Female,F,Black or African American,2054-5,129.0
Kidney and Renal Pelvis,29020,2013,Female,F,White,2106-3,815.0
Kidney and Renal Pelvis,29020,2013,Female,F,Other Races and Unknown combined,2131-1,19.0
Kidney and Renal Pelvis,29020,2013,Male,M,American Indian or Alaska Native,1002-5,24.0
Kidney and Renal Pelvis,29020,2013,Male,M,Asian or Pacific Islander,A-PI,39.0
Kidney and Renal Pelvis,29020,2013,Male,M,Black or African American,2054-5,218.0
Kidney and Renal Pelvis,29020,2013,Male,M,White,2106-3,1016.0
Kidney and Renal Pelvis,29020,2013,Male,M,Other Races and Unknown combined,2131-1,20.0
Kidney and Renal Pelvis,29020,2014,Female,F,American Indian or Alaska Native,1002-5,18.0
Kidney and Renal Pelvis,29020,2014,Female,F,Asian or Pacific Islander,A-PI,26.0
Kidney and Renal Pelvis,29020,2014,Female,F,Black or African American,2054-5,134.0
Kidney and Renal Pelvis,29020,2014,Female,F,White,2106-3,796.0
Kidney and Renal Pelvis,29020,2014,Female,F,Other Races and Unknown combined,2131-1,26.0
Kidney and Renal Pelvis,29020,2014,Male,M,Asian or Pacific Islander,A-PI,44.0
Kidney and Renal Pelvis,29020,2014,Male,M,Black or African American,2054-5,204.0
Kidney and Renal Pelvis,29020,2014,Male,M,White,2106-3,1076.0
Kidney and Renal Pelvis,29020,2014,Male,M,Other Races and Unknown combined,2131-1,33.0
Kidney and Renal Pelvis,29020,2015,Female,F,American Indian or Alaska Native,1002-5,16.0
Kidney and Renal Pelvis,29020,2015,Female,F,Asian or Pacific Islander,A-PI,37.0
Kidney and Renal Pelvis,29020,2015,Female,F,Black or African American,2054-5,168.0
Kidney and Renal Pelvis,29020,2015,Female,F,White,2106-3,856.0
Kidney and Renal Pelvis,29020,2015,Female,F,Other Races and Unknown combined,2131-1,19.0
Kidney and Renal Pelvis,29020,2015,Male,M,American Indian or Alaska Native,1002-5,20.0
Kidney and Renal Pelvis,29020,2015,Male,M,Asian or Pacific Islander,A-PI,53.0
Kidney and Renal Pelvis,29020,2015,Male,M,Black or African American,2054-5,208.0
Kidney and Renal Pelvis,29020,2015,Male,M,White,2106-3,1128.0
Kidney and Renal Pelvis,29020,2015,Male,M,Other Races and Unknown combined,2131-1,27.0
Kidney and Renal Pelvis,29020,2016,Female,F,American Indian or Alaska Native,1002-5,27.0
Kidney and Renal Pelvis,29020,2016,Female,F,Asian or Pacific Islander,A-PI,31.0
Kidney and Renal Pelvis,29020,2016,Female,F,Black or African American,2054-5,161.0
Kidney and Renal Pelvis,29020,2016,Female,F,White,2106-3,856.0
Kidney and Renal Pelvis,29020,2016,Female,F,Other Races and Unknown combined,2131-1,23.0
Kidney and Renal Pelvis,29020,2016,Male,M,American Indian or Alaska Native,1002-5,30.0
Kidney and Renal Pelvis,29020,2016,Male,M,Asian or Pacific Islander,A-PI,59.0
Kidney and Renal Pelvis,29020,2016,Male,M,Black or African American,2054-5,226.0
Kidney and Renal Pelvis,29020,2016,Male,M,White,2106-3,1216.0
Kidney and Renal Pelvis,29020,2016,Male,M,Other Races and Unknown combined,2131-1,35.0
Kidney and Renal Pelvis,29020,2017,Female,F,American Indian or Alaska Native,1002-5,18.0
Kidney and Renal Pelvis,29020,2017,Female,F,Asian or Pacific Islander,A-PI,37.0
Kidney and Renal Pelvis,29020,2017,Female,F,Black or African American,2054-5,148.0
Kidney and Renal Pelvis,29020,2017,Female,F,White,2106-3,841.0
Kidney and Renal Pelvis,29020,2017,Female,F,Other Races and Unknown combined,2131-1,29.0
Kidney and Renal Pelvis,29020,2017,Male,M,American Indian or Alaska Native,1002-5,17.0
Kidney and Renal Pelvis,29020,2017,Male,M,Asian or Pacific Islander,A-PI,61.0
Kidney and Renal Pelvis,29020,2017,Male,M,Black or African American,2054-5,204.0
Kidney and Renal Pelvis,29020,2017,Male,M,White,2106-3,1113.0
Kidney and Renal Pelvis,29020,2017,Male,M,Other Races and Unknown combined,2131-1,26.0
Kidney and Renal Pelvis,29020,2018,Female,F,American Indian or Alaska Native,1002-5,23.0
Kidney and Renal Pelvis,29020,2018,Female,F,Asian or Pacific Islander,A-PI,31.0
Kidney and Renal Pelvis,29020,2018,Female,F,Black or African American,2054-5,155.0
Kidney and Renal Pelvis,29020,2018,Female,F,White,2106-3,905.0
Kidney and Renal Pelvis,29020,2018,Female,F,Other Races and Unknown combined,2131-1,29.0
Kidney and Renal Pelvis,29020,2018,Male,M,American Indian or Alaska Native,1002-5,26.0
Kidney and Renal Pelvis,29020,2018,Male,M,Asian or Pacific Islander,A-PI,61.0
Kidney and Renal Pelvis,29020,2018,Male,M,Black or African American,2054-5,215.0
Kidney and Renal Pelvis,29020,2018,Male,M,White,2106-3,1178.0
Kidney and Renal Pelvis,29020,2018,Male,M,Other Races and Unknown combined,2131-1,43.0
Kidney and Renal Pelvis,29020,2019,Female,F,American Indian or Alaska Native,1002-5,24.0
Kidney and Renal Pelvis,29020,2019,Female,F,Asian or Pacific Islander,A-PI,38.0
Kidney and Renal Pelvis,29020,2019,Female,F,Black or African American,2054-5,168.0
Kidney and Renal Pelvis,29020,2019,Female,F,White,2106-3,907.0
Kidney and Renal Pelvis,29020,2019,Female,F,Other Races and Unknown combined,2131-1,34.0
Kidney and Renal Pelvis,29020,2019,Male,M,American Indian or Alaska Native,1002-5,30.0
Kidney and Renal Pelvis,29020,2019,Male,M,Asian or Pacific Islander,A-PI,63.0
Kidney and Renal Pelvis,29020,2019,Male,M,Black or African American,2054-5,218.0
Kidney and Renal Pelvis,29020,2019,Male,M,White,2106-3,1231.0
Kidney and Renal Pelvis,29020,2019,Male,M,Other Races and Unknown combined,2131-1,48.0
Kidney and Renal Pelvis,29020,2020,Female,F,American Indian or Alaska Native,1002-5,19.0
Kidney and Renal Pelvis,29020,2020,Female,F,Asian or Pacific Islander,A-PI,21.0
Kidney and Renal Pelvis,29020,2020,Female,F,Black or African American,2054-5,150.0
Kidney and Renal Pelvis,29020,2020,Female,F,White,2106-3,824.0
Kidney and Renal Pelvis,29020,2020,Female,F,Other Races and Unknown combined,2131-1,28.0
Kidney and Renal Pelvis,29020,2020,Male,M,American Indian or Alaska Native,1002-5,23.0
Kidney and Renal Pelvis,29020,2020,Male,M,Asian or Pacific Islander,A-PI,54.0
Kidney and Renal Pelvis,29020,2020,Male,M,Black or African American,2054-5,196.0
Kidney and Renal Pelvis,29020,2020,Male,M,White,2106-3,1101.0
Kidney and Renal Pelvis,29020,2020,Male,M,Other Races and Unknown combined,2131-1,38.0
Kidney and Renal Pelvis,29020,2021,Female,F,American Indian or Alaska Native,1002-5,24.0
Kidney and Renal Pelvis,29020,2021,Female,F,Asian or Pacific Islander,A-PI,35.0
Kidney and Renal Pelvis,29020,2021,Female,F,Black or African American,2054-5,171.0
Kidney and Renal Pelvis,29020,2021,Female,F,White,2106-3,825.0
Kidney and Renal Pelvis,29020,2021,Female,F,Other Races and Unknown combined,2131-1,32.0
Kidney and Renal Pelvis,29020,2021,Male,M,American Indian or Alaska Native,1002-5,22.0
Kidney and Renal Pelvis,29020,2021,Male,M,Asian or Pacific Islander,A-PI,86.0
Kidney and Renal Pelvis,29020,2021,Male,M,Black or African American,2054-5,178.0
Kidney and Renal Pelvis,29020,2021,Male,M,White,2106-3,1179.0
Kidney and Renal Pelvis,29020,2021,Male,M,Other Races and Unknown combined,2131-1,48.0
Larynx,22020,1999,Female,F,White,2106-3,59.0
Larynx,22020,1999,Male,M,White,2106-3,113.0
Larynx,22020,2000,Female,F,White,2106-3,60.0
Larynx,22020,2000,Male,M,White,2106-3,101.0
Larynx,22020,2001,Female,F,White,2106-3,59.0
Larynx,22020,2001,Male,M,Black or African American,2054-5,16.0
Larynx,22020,2001,Male,M,White,2106-3,90.0
Larynx,22020,2002,Female,F,White,2106-3,58.0
