Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Group Code,Sex,Sex Code,Race,Race Code,Deaths
Breast,26000,2014,30-34 years,30-34,Female,F,White,2106-3,183.0
Breast,26000,2014,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,46.0
Breast,26000,2014,35-39 years,35-39,Female,F,Black or African American,2054-5,173.0
Breast,26000,2014,35-39 years,35-39,Female,F,White,2106-3,479.0
Breast,26000,2015,25-29 years,25-29,Female,F,Black or African American,2054-5,32.0
Breast,26000,2015,25-29 years,25-29,Female,F,White,2106-3,51.0
Breast,26000,2015,30-34 years,30-34,Female,F,Black or African American,2054-5,77.0
Breast,26000,2015,30-34 years,30-34,Female,F,White,2106-3,208.0
Breast,26000,2015,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,27.0
Breast,26000,2015,35-39 years,35-39,Female,F,Black or African American,2054-5,172.0
Breast,26000,2015,35-39 years,35-39,Female,F,White,2106-3,447.0
Breast,26000,2016,25-29 years,25-29,Female,F,Black or African American,2054-5,25.0
Breast,26000,2016,25-29 years,25-29,Female,F,White,2106-3,56.0
Breast,26000,2016,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,18.0
Breast,26000,2016,30-34 years,30-34,Female,F,Black or African American,2054-5,80.0
Breast,26000,2016,30-34 years,30-34,Female,F,White,2106-3,245.0
Breast,26000,2016,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,41.0
Breast,26000,2016,35-39 years,35-39,Female,F,Black or African American,2054-5,162.0
Breast,26000,2016,35-39 years,35-39,Female,F,White,2106-3,512.0
Breast,26000,2017,25-29 years,25-29,Female,F,Black or African American,2054-5,30.0
Breast,26000,2017,25-29 years,25-29,Female,F,White,2106-3,48.0
Breast,26000,2017,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,17.0
Breast,26000,2017,30-34 years,30-34,Female,F,Black or African American,2054-5,84.0
Breast,26000,2017,30-34 years,30-34,Female,F,White,2106-3,197.0
Breast,26000,2017,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,32.0
Breast,26000,2017,35-39 years,35-39,Female,F,Black or African American,2054-5,162.0
Breast,26000,2017,35-39 years,35-39,Female,F,White,2106-3,472.0
Breast,26000,2018,25-29 years,25-29,Female,F,Black or African American,2054-5,26.0
Breast,26000,2018,25-29 years,25-29,Female,F,White,2106-3,58.0
Breast,26000,2018,30-34 years,30-34,Female,F,Black or African American,2054-5,87.0
Breast,26000,2018,30-34 years,30-34,Female,F,White,2106-3,209.0
Breast,26000,2018,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,44.0
Breast,26000,2018,35-39 years,35-39,Female,F,Black or African American,2054-5,180.0
Breast,26000,2018,35-39 years,35-39,Female,F,White,2106-3,465.0
Breast,26000,2019,25-29 years,25-29,Female,F,Black or African American,2054-5,24.0
Breast,26000,2019,25-29 years,25-29,Female,F,White,2106-3,64.0
Breast,26000,2019,30-34 years,30-34,Female,F,Black or African American,2054-5,86.0
Breast,26000,2019,30-34 years,30-34,Female,F,White,2106-3,238.0
Breast,26000,2019,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,36.0
Breast,26000,2019,35-39 years,35-39,Female,F,Black or African American,2054-5,205.0
Breast,26000,2019,35-39 years,35-39,Female,F,White,2106-3,514.0
Breast,26000,2020,25-29 years,25-29,Female,F,Black or African American,2054-5,34.0
Breast,26000,2020,25-29 years,25-29,Female,F,White,2106-3,56.0
Breast,26000,2020,30-34 years,30-34,Female,F,Black or African American,2054-5,77.0
Breast,26000,2020,30-34 years,30-34,Female,F,White,2106-3,196.0
Breast,26000,2020,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,40.0
Breast,26000,2020,35-39 years,35-39,Female,F,Black or African American,2054-5,149.0
Breast,26000,2020,35-39 years,35-39,Female,F,White,2106-3,488.0
Breast,26000,2021,25-29 years,25-29,Female,F,Black or African American,2054-5,19.0
Breast,26000,2021,25-29 years,25-29,Female,F,White,2106-3,57.0
Breast,26000,2021,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,19.0
Breast,26000,2021,30-34 years,30-34,Female,F,Black or African American,2054-5,75.0
Breast,26000,2021,30-34 years,30-34,Female,F,White,2106-3,191.0
Breast,26000,2021,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,40.0
Breast,26000,2021,35-39 years,35-39,Female,F,Black or African American,2054-5,172.0
Breast,26000,2021,35-39 years,35-39,Female,F,White,2106-3,485.0
Cervix Uteri,27010,1999,25-29 years,25-29,Female,F,White,2106-3,52.0
Cervix Uteri,27010,1999,30-34 years,30-34,Female,F,Black or African American,2054-5,27.0
Cervix Uteri,27010,1999,30-34 years,30-34,Female,F,White,2106-3,124.0
Cervix Uteri,27010,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,61.0
Cervix Uteri,27010,1999,35-39 years,35-39,Female,F,White,2106-3,221.0
Cervix Uteri,27010,2000,25-29 years,25-29,Female,F,White,2106-3,63.0
Cervix Uteri,27010,2000,30-34 years,30-34,Female,F,Black or African American,2054-5,39.0
Cervix Uteri,27010,2000,30-34 years,30-34,Female,F,White,2106-3,111.0
Cervix Uteri,27010,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,62.0
Cervix Uteri,27010,2000,35-39 years,35-39,Female,F,White,2106-3,223.0
Cervix Uteri,27010,2001,25-29 years,25-29,Female,F,White,2106-3,40.0
Cervix Uteri,27010,2001,30-34 years,30-34,Female,F,Black or African American,2054-5,31.0
Cervix Uteri,27010,2001,30-34 years,30-34,Female,F,White,2106-3,122.0
Cervix Uteri,27010,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,54.0
Cervix Uteri,27010,2001,35-39 years,35-39,Female,F,White,2106-3,226.0
Cervix Uteri,27010,2002,25-29 years,25-29,Female,F,White,2106-3,34.0
Cervix Uteri,27010,2002,30-34 years,30-34,Female,F,Black or African American,2054-5,30.0
Cervix Uteri,27010,2002,30-34 years,30-34,Female,F,White,2106-3,126.0
Cervix Uteri,27010,2002,35-39 years,35-39,Female,F,Black or African American,2054-5,60.0
Cervix Uteri,27010,2002,35-39 years,35-39,Female,F,White,2106-3,211.0
Cervix Uteri,27010,2003,25-29 years,25-29,Female,F,Black or African American,2054-5,17.0
Cervix Uteri,27010,2003,25-29 years,25-29,Female,F,White,2106-3,40.0
Cervix Uteri,27010,2003,30-34 years,30-34,Female,F,Black or African American,2054-5,33.0
Cervix Uteri,27010,2003,30-34 years,30-34,Female,F,White,2106-3,99.0
Cervix Uteri,27010,2003,35-39 years,35-39,Female,F,Black or African American,2054-5,57.0
Cervix Uteri,27010,2003,35-39 years,35-39,Female,F,White,2106-3,182.0
Cervix Uteri,27010,2004,25-29 years,25-29,Female,F,Black or African American,2054-5,20.0
Cervix Uteri,27010,2004,25-29 years,25-29,Female,F,White,2106-3,48.0
Cervix Uteri,27010,2004,30-34 years,30-34,Female,F,Black or African American,2054-5,25.0
Cervix Uteri,27010,2004,30-34 years,30-34,Female,F,White,2106-3,110.0
Cervix Uteri,27010,2004,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Cervix Uteri,27010,2004,35-39 years,35-39,Female,F,White,2106-3,179.0
Cervix Uteri,27010,2005,25-29 years,25-29,Female,F,White,2106-3,27.0
Cervix Uteri,27010,2005,30-34 years,30-34,Female,F,Black or African American,2054-5,21.0
Cervix Uteri,27010,2005,30-34 years,30-34,Female,F,White,2106-3,106.0
Cervix Uteri,27010,2005,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Cervix Uteri,27010,2005,35-39 years,35-39,Female,F,White,2106-3,182.0
Cervix Uteri,27010,2006,25-29 years,25-29,Female,F,White,2106-3,37.0
Cervix Uteri,27010,2006,30-34 years,30-34,Female,F,Black or African American,2054-5,31.0
Cervix Uteri,27010,2006,30-34 years,30-34,Female,F,White,2106-3,89.0
Cervix Uteri,27010,2006,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Cervix Uteri,27010,2006,35-39 years,35-39,Female,F,White,2106-3,196.0
Cervix Uteri,27010,2007,25-29 years,25-29,Female,F,White,2106-3,34.0
Cervix Uteri,27010,2007,30-34 years,30-34,Female,F,Black or African American,2054-5,37.0
Cervix Uteri,27010,2007,30-34 years,30-34,Female,F,White,2106-3,95.0
Cervix Uteri,27010,2007,35-39 years,35-39,Female,F,Black or African American,2054-5,54.0
Cervix Uteri,27010,2007,35-39 years,35-39,Female,F,White,2106-3,215.0
Cervix Uteri,27010,2008,25-29 years,25-29,Female,F,White,2106-3,36.0
Cervix Uteri,27010,2008,30-34 years,30-34,Female,F,Black or African American,2054-5,21.0
Cervix Uteri,27010,2008,30-34 years,30-34,Female,F,White,2106-3,77.0
Cervix Uteri,27010,2008,35-39 years,35-39,Female,F,Black or African American,2054-5,48.0
Cervix Uteri,27010,2008,35-39 years,35-39,Female,F,White,2106-3,188.0
Cervix Uteri,27010,2009,25-29 years,25-29,Female,F,White,2106-3,42.0
Cervix Uteri,27010,2009,30-34 years,30-34,Female,F,Black or African American,2054-5,23.0
Cervix Uteri,27010,2009,30-34 years,30-34,Female,F,White,2106-3,97.0
Cervix Uteri,27010,2009,35-39 years,35-39,Female,F,Black or African American,2054-5,42.0
Cervix Uteri,27010,2009,35-39 years,35-39,Female,F,White,2106-3,178.0
Cervix Uteri,27010,2010,25-29 years,25-29,Female,F,White,2106-3,51.0
Cervix Uteri,27010,2010,30-34 years,30-34,Female,F,Black or African American,2054-5,19.0
Cervix Uteri,27010,2010,30-34 years,30-34,Female,F,White,2106-3,96.0
Cervix Uteri,27010,2010,35-39 years,35-39,Female,F,Black or African American,2054-5,51.0
Cervix Uteri,27010,2010,35-39 years,35-39,Female,F,White,2106-3,167.0
Cervix Uteri,27010,2011,25-29 years,25-29,Female,F,White,2106-3,36.0
Cervix Uteri,27010,2011,30-34 years,30-34,Female,F,Black or African American,2054-5,34.0
Cervix Uteri,27010,2011,30-34 years,30-34,Female,F,White,2106-3,99.0
Cervix Uteri,27010,2011,35-39 years,35-39,Female,F,Black or African American,2054-5,50.0
Cervix Uteri,27010,2011,35-39 years,35-39,Female,F,White,2106-3,154.0
Cervix Uteri,27010,2012,25-29 years,25-29,Female,F,White,2106-3,61.0
Cervix Uteri,27010,2012,30-34 years,30-34,Female,F,Black or African American,2054-5,32.0
Cervix Uteri,27010,2012,30-34 years,30-34,Female,F,White,2106-3,99.0
Cervix Uteri,27010,2012,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Cervix Uteri,27010,2012,35-39 years,35-39,Female,F,White,2106-3,170.0
Cervix Uteri,27010,2013,25-29 years,25-29,Female,F,White,2106-3,59.0
Cervix Uteri,27010,2013,30-34 years,30-34,Female,F,Black or African American,2054-5,28.0
Cervix Uteri,27010,2013,30-34 years,30-34,Female,F,White,2106-3,105.0
Cervix Uteri,27010,2013,35-39 years,35-39,Female,F,Black or African American,2054-5,41.0
Cervix Uteri,27010,2013,35-39 years,35-39,Female,F,White,2106-3,159.0
Cervix Uteri,27010,2014,25-29 years,25-29,Female,F,White,2106-3,52.0
Cervix Uteri,27010,2014,30-34 years,30-34,Female,F,Black or African American,2054-5,30.0
Cervix Uteri,27010,2014,30-34 years,30-34,Female,F,White,2106-3,104.0
Cervix Uteri,27010,2014,35-39 years,35-39,Female,F,Black or African American,2054-5,48.0
Cervix Uteri,27010,2014,35-39 years,35-39,Female,F,White,2106-3,177.0
Cervix Uteri,27010,2015,25-29 years,25-29,Female,F,White,2106-3,47.0
Cervix Uteri,27010,2015,30-34 years,30-34,Female,F,Black or African American,2054-5,19.0
Cervix Uteri,27010,2015,30-34 years,30-34,Female,F,White,2106-3,122.0
Cervix Uteri,27010,2015,35-39 years,35-39,Female,F,Black or African American,2054-5,42.0
Cervix Uteri,27010,2015,35-39 years,35-39,Female,F,White,2106-3,166.0
Cervix Uteri,27010,2016,25-29 years,25-29,Female,F,White,2106-3,60.0
Cervix Uteri,27010,2016,30-34 years,30-34,Female,F,Black or African American,2054-5,30.0
Cervix Uteri,27010,2016,30-34 years,30-34,Female,F,White,2106-3,111.0
Cervix Uteri,27010,2016,35-39 years,35-39,Female,F,Black or African American,2054-5,37.0
Cervix Uteri,27010,2016,35-39 years,35-39,Female,F,White,2106-3,184.0
Cervix Uteri,27010,2017,25-29 years,25-29,Female,F,Black or African American,2054-5,18.0
Cervix Uteri,27010,2017,25-29 years,25-29,Female,F,White,2106-3,46.0
Cervix Uteri,27010,2017,30-34 years,30-34,Female,F,Black or African American,2054-5,23.0
Cervix Uteri,27010,2017,30-34 years,30-34,Female,F,White,2106-3,124.0
Cervix Uteri,27010,2017,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Cervix Uteri,27010,2017,35-39 years,35-39,Female,F,White,2106-3,221.0
Cervix Uteri,27010,2018,25-29 years,25-29,Female,F,White,2106-3,38.0
Cervix Uteri,27010,2018,30-34 years,30-34,Female,F,Black or African American,2054-5,33.0
Cervix Uteri,27010,2018,30-34 years,30-34,Female,F,White,2106-3,134.0
Cervix Uteri,27010,2018,35-39 years,35-39,Female,F,Black or African American,2054-5,48.0
Cervix Uteri,27010,2018,35-39 years,35-39,Female,F,White,2106-3,180.0
Cervix Uteri,27010,2019,25-29 years,25-29,Female,F,White,2106-3,38.0
Cervix Uteri,27010,2019,30-34 years,30-34,Female,F,Black or African American,2054-5,23.0
Cervix Uteri,27010,2019,30-34 years,30-34,Female,F,White,2106-3,98.0
Cervix Uteri,27010,2019,35-39 years,35-39,Female,F,Black or African American,2054-5,53.0
Cervix Uteri,27010,2019,35-39 years,35-39,Female,F,White,2106-3,171.0
Cervix Uteri,27010,2020,25-29 years,25-29,Female,F,White,2106-3,32.0
Cervix Uteri,27010,2020,30-34 years,30-34,Female,F,Black or African American,2054-5,27.0
Cervix Uteri,27010,2020,30-34 years,30-34,Female,F,White,2106-3,125.0
Cervix Uteri,27010,2020,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Cervix Uteri,27010,2020,35-39 years,35-39,Female,F,White,2106-3,224.0
Cervix Uteri,27010,2021,25-29 years,25-29,Female,F,White,2106-3,39.0
Cervix Uteri,27010,2021,30-34 years,30-34,Female,F,Black or African American,2054-5,32.0
Cervix Uteri,27010,2021,30-34 years,30-34,Female,F,White,2106-3,146.0
Cervix Uteri,27010,2021,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,16.0
Cervix Uteri,27010,2021,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Cervix Uteri,27010,2021,35-39 years,35-39,Female,F,White,2106-3,205.0
Colon and Rectum,21041-21052,1999,25-29 years,25-29,Female,F,White,2106-3,24.0
Colon and Rectum,21041-21052,1999,25-29 years,25-29,Male,M,White,2106-3,41.0
Colon and Rectum,21041-21052,1999,30-34 years,30-34,Female,F,Black or African American,2054-5,18.0
Colon and Rectum,21041-21052,1999,30-34 years,30-34,Female,F,White,2106-3,72.0
Colon and Rectum,21041-21052,1999,30-34 years,30-34,Male,M,White,2106-3,75.0
Colon and Rectum,21041-21052,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,47.0
Colon and Rectum,21041-21052,1999,35-39 years,35-39,Female,F,White,2106-3,149.0
Colon and Rectum,21041-21052,1999,35-39 years,35-39,Male,M,Black or African American,2054-5,39.0
Colon and Rectum,21041-21052,1999,35-39 years,35-39,Male,M,White,2106-3,178.0
Colon and Rectum,21041-21052,2000,25-29 years,25-29,Female,F,White,2106-3,26.0
Colon and Rectum,21041-21052,2000,25-29 years,25-29,Male,M,White,2106-3,32.0
Colon and Rectum,21041-21052,2000,30-34 years,30-34,Female,F,Black or African American,2054-5,19.0
Colon and Rectum,21041-21052,2000,30-34 years,30-34,Female,F,White,2106-3,58.0
Colon and Rectum,21041-21052,2000,30-34 years,30-34,Male,M,Black or African American,2054-5,22.0
Colon and Rectum,21041-21052,2000,30-34 years,30-34,Male,M,White,2106-3,84.0
Colon and Rectum,21041-21052,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,51.0
Colon and Rectum,21041-21052,2000,35-39 years,35-39,Female,F,White,2106-3,142.0
Colon and Rectum,21041-21052,2000,35-39 years,35-39,Male,M,Black or African American,2054-5,54.0
Colon and Rectum,21041-21052,2000,35-39 years,35-39,Male,M,White,2106-3,200.0
Colon and Rectum,21041-21052,2001,20-24 years,20-24,Female,F,White,2106-3,16.0
Colon and Rectum,21041-21052,2001,25-29 years,25-29,Female,F,White,2106-3,32.0
Colon and Rectum,21041-21052,2001,25-29 years,25-29,Male,M,White,2106-3,28.0
Colon and Rectum,21041-21052,2001,30-34 years,30-34,Female,F,Black or African American,2054-5,19.0
Colon and Rectum,21041-21052,2001,30-34 years,30-34,Female,F,White,2106-3,70.0
Colon and Rectum,21041-21052,2001,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Colon and Rectum,21041-21052,2001,30-34 years,30-34,Male,M,White,2106-3,90.0
Colon and Rectum,21041-21052,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,46.0
Colon and Rectum,21041-21052,2001,35-39 years,35-39,Female,F,White,2106-3,150.0
Colon and Rectum,21041-21052,2001,35-39 years,35-39,Male,M,Black or African American,2054-5,51.0
Colon and Rectum,21041-21052,2001,35-39 years,35-39,Male,M,White,2106-3,219.0
Colon and Rectum,21041-21052,2002,20-24 years,20-24,Male,M,White,2106-3,20.0
Colon and Rectum,21041-21052,2002,25-29 years,25-29,Female,F,White,2106-3,30.0
Colon and Rectum,21041-21052,2002,25-29 years,25-29,Male,M,White,2106-3,39.0
Colon and Rectum,21041-21052,2002,30-34 years,30-34,Female,F,White,2106-3,75.0
Colon and Rectum,21041-21052,2002,30-34 years,30-34,Male,M,Black or African American,2054-5,19.0
Colon and Rectum,21041-21052,2002,30-34 years,30-34,Male,M,White,2106-3,87.0
Colon and Rectum,21041-21052,2002,35-39 years,35-39,Female,F,Black or African American,2054-5,32.0
Colon and Rectum,21041-21052,2002,35-39 years,35-39,Female,F,White,2106-3,155.0
Colon and Rectum,21041-21052,2002,35-39 years,35-39,Male,M,Black or African American,2054-5,41.0
Colon and Rectum,21041-21052,2002,35-39 years,35-39,Male,M,White,2106-3,170.0
Colon and Rectum,21041-21052,2003,25-29 years,25-29,Female,F,White,2106-3,27.0
Colon and Rectum,21041-21052,2003,25-29 years,25-29,Male,M,White,2106-3,45.0
Colon and Rectum,21041-21052,2003,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Colon and Rectum,21041-21052,2003,30-34 years,30-34,Female,F,White,2106-3,67.0
Colon and Rectum,21041-21052,2003,30-34 years,30-34,Male,M,White,2106-3,72.0
Colon and Rectum,21041-21052,2003,35-39 years,35-39,Female,F,Black or African American,2054-5,52.0
Colon and Rectum,21041-21052,2003,35-39 years,35-39,Female,F,White,2106-3,150.0
Colon and Rectum,21041-21052,2003,35-39 years,35-39,Male,M,Black or African American,2054-5,42.0
Colon and Rectum,21041-21052,2003,35-39 years,35-39,Male,M,White,2106-3,172.0
Colon and Rectum,21041-21052,2004,20-24 years,20-24,Male,M,White,2106-3,16.0
Colon and Rectum,21041-21052,2004,25-29 years,25-29,Female,F,White,2106-3,31.0
Colon and Rectum,21041-21052,2004,25-29 years,25-29,Male,M,White,2106-3,38.0
Colon and Rectum,21041-21052,2004,30-34 years,30-34,Female,F,Black or African American,2054-5,19.0
Colon and Rectum,21041-21052,2004,30-34 years,30-34,Female,F,White,2106-3,65.0
Colon and Rectum,21041-21052,2004,30-34 years,30-34,Male,M,Black or African American,2054-5,17.0
Colon and Rectum,21041-21052,2004,30-34 years,30-34,Male,M,White,2106-3,77.0
Colon and Rectum,21041-21052,2004,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,20.0
Colon and Rectum,21041-21052,2004,35-39 years,35-39,Female,F,Black or African American,2054-5,47.0
Colon and Rectum,21041-21052,2004,35-39 years,35-39,Female,F,White,2106-3,135.0
Colon and Rectum,21041-21052,2004,35-39 years,35-39,Male,M,Black or African American,2054-5,27.0
Colon and Rectum,21041-21052,2004,35-39 years,35-39,Male,M,White,2106-3,171.0
Colon and Rectum,21041-21052,2005,20-24 years,20-24,Male,M,White,2106-3,16.0
Colon and Rectum,21041-21052,2005,25-29 years,25-29,Female,F,White,2106-3,26.0
Colon and Rectum,21041-21052,2005,25-29 years,25-29,Male,M,White,2106-3,38.0
Colon and Rectum,21041-21052,2005,30-34 years,30-34,Female,F,Black or African American,2054-5,17.0
Colon and Rectum,21041-21052,2005,30-34 years,30-34,Female,F,White,2106-3,82.0
Colon and Rectum,21041-21052,2005,30-34 years,30-34,Male,M,Black or African American,2054-5,26.0
Colon and Rectum,21041-21052,2005,30-34 years,30-34,Male,M,White,2106-3,84.0
Colon and Rectum,21041-21052,2005,35-39 years,35-39,Female,F,Black or African American,2054-5,39.0
Colon and Rectum,21041-21052,2005,35-39 years,35-39,Female,F,White,2106-3,126.0
Colon and Rectum,21041-21052,2005,35-39 years,35-39,Male,M,Black or African American,2054-5,36.0
Colon and Rectum,21041-21052,2005,35-39 years,35-39,Male,M,White,2106-3,172.0
Colon and Rectum,21041-21052,2006,25-29 years,25-29,Female,F,White,2106-3,40.0
Colon and Rectum,21041-21052,2006,25-29 years,25-29,Male,M,White,2106-3,39.0
Colon and Rectum,21041-21052,2006,30-34 years,30-34,Female,F,Black or African American,2054-5,27.0
Colon and Rectum,21041-21052,2006,30-34 years,30-34,Female,F,White,2106-3,66.0
Colon and Rectum,21041-21052,2006,30-34 years,30-34,Male,M,Black or African American,2054-5,21.0
Colon and Rectum,21041-21052,2006,30-34 years,30-34,Male,M,White,2106-3,83.0
Colon and Rectum,21041-21052,2006,35-39 years,35-39,Female,F,Black or African American,2054-5,38.0
Colon and Rectum,21041-21052,2006,35-39 years,35-39,Female,F,White,2106-3,149.0
Colon and Rectum,21041-21052,2006,35-39 years,35-39,Male,M,Black or African American,2054-5,45.0
Colon and Rectum,21041-21052,2006,35-39 years,35-39,Male,M,White,2106-3,164.0
Colon and Rectum,21041-21052,2007,25-29 years,25-29,Female,F,White,2106-3,29.0
Colon and Rectum,21041-21052,2007,25-29 years,25-29,Male,M,White,2106-3,38.0
Colon and Rectum,21041-21052,2007,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Colon and Rectum,21041-21052,2007,30-34 years,30-34,Female,F,White,2106-3,63.0
Colon and Rectum,21041-21052,2007,30-34 years,30-34,Male,M,Black or African American,2054-5,16.0
Colon and Rectum,21041-21052,2007,30-34 years,30-34,Male,M,White,2106-3,79.0
Colon and Rectum,21041-21052,2007,35-39 years,35-39,Female,F,Black or African American,2054-5,29.0
Colon and Rectum,21041-21052,2007,35-39 years,35-39,Female,F,White,2106-3,138.0
Colon and Rectum,21041-21052,2007,35-39 years,35-39,Male,M,Black or African American,2054-5,41.0
Colon and Rectum,21041-21052,2007,35-39 years,35-39,Male,M,White,2106-3,166.0
Colon and Rectum,21041-21052,2008,25-29 years,25-29,Female,F,White,2106-3,41.0
Colon and Rectum,21041-21052,2008,25-29 years,25-29,Male,M,White,2106-3,38.0
Colon and Rectum,21041-21052,2008,30-34 years,30-34,Female,F,Black or African American,2054-5,20.0
Colon and Rectum,21041-21052,2008,30-34 years,30-34,Female,F,White,2106-3,71.0
Colon and Rectum,21041-21052,2008,30-34 years,30-34,Male,M,Black or African American,2054-5,20.0
Colon and Rectum,21041-21052,2008,30-34 years,30-34,Male,M,White,2106-3,76.0
Colon and Rectum,21041-21052,2008,35-39 years,35-39,Female,F,Black or African American,2054-5,42.0
Colon and Rectum,21041-21052,2008,35-39 years,35-39,Female,F,White,2106-3,149.0
Colon and Rectum,21041-21052,2008,35-39 years,35-39,Male,M,Black or African American,2054-5,43.0
Colon and Rectum,21041-21052,2008,35-39 years,35-39,Male,M,White,2106-3,209.0
Colon and Rectum,21041-21052,2009,20-24 years,20-24,Male,M,White,2106-3,19.0
Colon and Rectum,21041-21052,2009,25-29 years,25-29,Female,F,White,2106-3,28.0
Colon and Rectum,21041-21052,2009,25-29 years,25-29,Male,M,White,2106-3,43.0
Colon and Rectum,21041-21052,2009,30-34 years,30-34,Female,F,White,2106-3,57.0
Colon and Rectum,21041-21052,2009,30-34 years,30-34,Male,M,White,2106-3,91.0
Colon and Rectum,21041-21052,2009,35-39 years,35-39,Female,F,Black or African American,2054-5,47.0
Colon and Rectum,21041-21052,2009,35-39 years,35-39,Female,F,White,2106-3,141.0
Colon and Rectum,21041-21052,2009,35-39 years,35-39,Male,M,Black or African American,2054-5,47.0
Colon and Rectum,21041-21052,2009,35-39 years,35-39,Male,M,White,2106-3,202.0
Colon and Rectum,21041-21052,2010,25-29 years,25-29,Female,F,White,2106-3,33.0
Colon and Rectum,21041-21052,2010,25-29 years,25-29,Male,M,White,2106-3,38.0
Colon and Rectum,21041-21052,2010,30-34 years,30-34,Female,F,White,2106-3,62.0
Colon and Rectum,21041-21052,2010,30-34 years,30-34,Male,M,Black or African American,2054-5,17.0
Colon and Rectum,21041-21052,2010,30-34 years,30-34,Male,M,White,2106-3,97.0
Colon and Rectum,21041-21052,2010,35-39 years,35-39,Female,F,Black or African American,2054-5,49.0
Colon and Rectum,21041-21052,2010,35-39 years,35-39,Female,F,White,2106-3,127.0
Colon and Rectum,21041-21052,2010,35-39 years,35-39,Male,M,Black or African American,2054-5,38.0
Colon and Rectum,21041-21052,2010,35-39 years,35-39,Male,M,White,2106-3,188.0
Colon and Rectum,21041-21052,2011,20-24 years,20-24,Female,F,White,2106-3,18.0
Colon and Rectum,21041-21052,2011,20-24 years,20-24,Male,M,White,2106-3,21.0
Colon and Rectum,21041-21052,2011,25-29 years,25-29,Female,F,White,2106-3,27.0
Colon and Rectum,21041-21052,2011,25-29 years,25-29,Male,M,White,2106-3,35.0
Colon and Rectum,21041-21052,2011,30-34 years,30-34,Female,F,Black or African American,2054-5,27.0
Colon and Rectum,21041-21052,2011,30-34 years,30-34,Female,F,White,2106-3,67.0
Colon and Rectum,21041-21052,2011,30-34 years,30-34,Male,M,Black or African American,2054-5,22.0
Colon and Rectum,21041-21052,2011,30-34 years,30-34,Male,M,White,2106-3,88.0
Colon and Rectum,21041-21052,2011,35-39 years,35-39,Female,F,Black or African American,2054-5,45.0
Colon and Rectum,21041-21052,2011,35-39 years,35-39,Female,F,White,2106-3,129.0
Colon and Rectum,21041-21052,2011,35-39 years,35-39,Male,M,Black or African American,2054-5,49.0
Colon and Rectum,21041-21052,2011,35-39 years,35-39,Male,M,White,2106-3,190.0
Colon and Rectum,21041-21052,2012,20-24 years,20-24,Female,F,White,2106-3,16.0
Colon and Rectum,21041-21052,2012,20-24 years,20-24,Male,M,White,2106-3,24.0
Colon and Rectum,21041-21052,2012,25-29 years,25-29,Female,F,White,2106-3,29.0
Colon and Rectum,21041-21052,2012,25-29 years,25-29,Male,M,White,2106-3,49.0
Colon and Rectum,21041-21052,2012,30-34 years,30-34,Female,F,Black or African American,2054-5,28.0
Colon and Rectum,21041-21052,2012,30-34 years,30-34,Female,F,White,2106-3,82.0
Colon and Rectum,21041-21052,2012,30-34 years,30-34,Male,M,Black or African American,2054-5,19.0
Colon and Rectum,21041-21052,2012,30-34 years,30-34,Male,M,White,2106-3,92.0
Colon and Rectum,21041-21052,2012,35-39 years,35-39,Female,F,Black or African American,2054-5,36.0
Colon and Rectum,21041-21052,2012,35-39 years,35-39,Female,F,White,2106-3,142.0
Colon and Rectum,21041-21052,2012,35-39 years,35-39,Male,M,Black or African American,2054-5,39.0
Colon and Rectum,21041-21052,2012,35-39 years,35-39,Male,M,White,2106-3,192.0
Colon and Rectum,21041-21052,2013,20-24 years,20-24,Male,M,White,2106-3,17.0
Colon and Rectum,21041-21052,2013,25-29 years,25-29,Female,F,White,2106-3,31.0
