Leading Cancer Sites,Leading Cancer Sites Code,Year,Race,Race Code,Count
Colon and Rectum,21041-21052,2012,Black or African American,2054-5,577.0
Colon and Rectum,21041-21052,2012,White,2106-3,3037.0
Colon and Rectum,21041-21052,2012,Other Races and Unknown combined,2131-1,70.0
Colon and Rectum,21041-21052,2013,American Indian or Alaska Native,1002-5,47.0
Colon and Rectum,21041-21052,2013,Asian or Pacific Islander,A-PI,221.0
Colon and Rectum,21041-21052,2013,Black or African American,2054-5,544.0
Colon and Rectum,21041-21052,2013,White,2106-3,2970.0
Colon and Rectum,21041-21052,2013,Other Races and Unknown combined,2131-1,52.0
Colon and Rectum,21041-21052,2014,American Indian or Alaska Native,1002-5,55.0
Colon and Rectum,21041-21052,2014,Asian or Pacific Islander,A-PI,245.0
Colon and Rectum,21041-21052,2014,Black or African American,2054-5,612.0
Colon and Rectum,21041-21052,2014,White,2106-3,3410.0
Colon and Rectum,21041-21052,2014,Other Races and Unknown combined,2131-1,74.0
Colon and Rectum,21041-21052,2015,American Indian or Alaska Native,1002-5,54.0
Colon and Rectum,21041-21052,2015,Asian or Pacific Islander,A-PI,255.0
Colon and Rectum,21041-21052,2015,Black or African American,2054-5,696.0
Colon and Rectum,21041-21052,2015,White,2106-3,3738.0
Colon and Rectum,21041-21052,2015,Other Races and Unknown combined,2131-1,80.0
Colon and Rectum,21041-21052,2016,American Indian or Alaska Native,1002-5,67.0
Colon and Rectum,21041-21052,2016,Asian or Pacific Islander,A-PI,251.0
Colon and Rectum,21041-21052,2016,Black or African American,2054-5,671.0
Colon and Rectum,21041-21052,2016,White,2106-3,3861.0
Colon and Rectum,21041-21052,2016,Other Races and Unknown combined,2131-1,105.0
Colon and Rectum,21041-21052,2017,American Indian or Alaska Native,1002-5,70.0
Colon and Rectum,21041-21052,2017,Asian or Pacific Islander,A-PI,283.0
Colon and Rectum,21041-21052,2017,Black or African American,2054-5,712.0
Colon and Rectum,21041-21052,2017,White,2106-3,4001.0
Colon and Rectum,21041-21052,2017,Other Races and Unknown combined,2131-1,118.0
Colon and Rectum,21041-21052,2018,American Indian or Alaska Native,1002-5,52.0
Colon and Rectum,21041-21052,2018,Asian or Pacific Islander,A-PI,264.0
Colon and Rectum,21041-21052,2018,Black or African American,2054-5,733.0
Colon and Rectum,21041-21052,2018,White,2106-3,3988.0
Colon and Rectum,21041-21052,2018,Other Races and Unknown combined,2131-1,135.0
Colon and Rectum,21041-21052,2019,American Indian or Alaska Native,1002-5,56.0
Colon and Rectum,21041-21052,2019,Asian or Pacific Islander,A-PI,311.0
Colon and Rectum,21041-21052,2019,Black or African American,2054-5,720.0
Colon and Rectum,21041-21052,2019,White,2106-3,4087.0
Colon and Rectum,21041-21052,2019,Other Races and Unknown combined,2131-1,159.0
Colon and Rectum,21041-21052,2020,American Indian or Alaska Native,1002-5,69.0
Colon and Rectum,21041-21052,2020,Asian or Pacific Islander,A-PI,297.0
Colon and Rectum,21041-21052,2020,Black or African American,2054-5,704.0
Colon and Rectum,21041-21052,2020,White,2106-3,4014.0
Colon and Rectum,21041-21052,2020,Other Races and Unknown combined,2131-1,140.0
Colon and Rectum,21041-21052,2021,American Indian or Alaska Native,1002-5,55.0
Colon and Rectum,21041-21052,2021,Asian or Pacific Islander,A-PI,311.0
Colon and Rectum,21041-21052,2021,Black or African American,2054-5,731.0
Colon and Rectum,21041-21052,2021,White,2106-3,3995.0
Colon and Rectum,21041-21052,2021,Other Races and Unknown combined,2131-1,199.0
Corpus Uteri,27020,1999,American Indian or Alaska Native,1002-5,20.0
Corpus Uteri,27020,1999,Asian or Pacific Islander,A-PI,54.0
Corpus Uteri,27020,1999,Black or African American,2054-5,118.0
Corpus Uteri,27020,1999,White,2106-3,1007.0
Corpus Uteri,27020,1999,Other Races and Unknown combined,2131-1,16.0
Corpus Uteri,27020,2000,Asian or Pacific Islander,A-PI,53.0
Corpus Uteri,27020,2000,Black or African American,2054-5,120.0
Corpus Uteri,27020,2000,White,2106-3,992.0
Corpus Uteri,27020,2001,American Indian or Alaska Native,1002-5,25.0
Corpus Uteri,27020,2001,Asian or Pacific Islander,A-PI,57.0
Corpus Uteri,27020,2001,Black or African American,2054-5,141.0
Corpus Uteri,27020,2001,White,2106-3,971.0
Corpus Uteri,27020,2001,Other Races and Unknown combined,2131-1,17.0
Corpus Uteri,27020,2002,Asian or Pacific Islander,A-PI,68.0
Corpus Uteri,27020,2002,Black or African American,2054-5,150.0
Corpus Uteri,27020,2002,White,2106-3,1011.0
Corpus Uteri,27020,2002,Other Races and Unknown combined,2131-1,17.0
Corpus Uteri,27020,2003,Asian or Pacific Islander,A-PI,60.0
Corpus Uteri,27020,2003,Black or African American,2054-5,123.0
Corpus Uteri,27020,2003,White,2106-3,1060.0
Corpus Uteri,27020,2003,Other Races and Unknown combined,2131-1,21.0
Corpus Uteri,27020,2004,Asian or Pacific Islander,A-PI,91.0
Corpus Uteri,27020,2004,Black or African American,2054-5,140.0
Corpus Uteri,27020,2004,White,2106-3,1067.0
Corpus Uteri,27020,2004,Other Races and Unknown combined,2131-1,19.0
Corpus Uteri,27020,2005,American Indian or Alaska Native,1002-5,22.0
Corpus Uteri,27020,2005,Asian or Pacific Islander,A-PI,89.0
Corpus Uteri,27020,2005,Black or African American,2054-5,167.0
Corpus Uteri,27020,2005,White,2106-3,1064.0
Corpus Uteri,27020,2005,Other Races and Unknown combined,2131-1,23.0
Corpus Uteri,27020,2006,American Indian or Alaska Native,1002-5,24.0
Corpus Uteri,27020,2006,Asian or Pacific Islander,A-PI,73.0
Corpus Uteri,27020,2006,Black or African American,2054-5,131.0
Corpus Uteri,27020,2006,White,2106-3,1136.0
Corpus Uteri,27020,2006,Other Races and Unknown combined,2131-1,16.0
Corpus Uteri,27020,2007,American Indian or Alaska Native,1002-5,31.0
Corpus Uteri,27020,2007,Asian or Pacific Islander,A-PI,87.0
Corpus Uteri,27020,2007,Black or African American,2054-5,135.0
Corpus Uteri,27020,2007,White,2106-3,1161.0
Corpus Uteri,27020,2007,Other Races and Unknown combined,2131-1,34.0
Corpus Uteri,27020,2008,American Indian or Alaska Native,1002-5,27.0
Corpus Uteri,27020,2008,Asian or Pacific Islander,A-PI,105.0
Corpus Uteri,27020,2008,Black or African American,2054-5,163.0
Corpus Uteri,27020,2008,White,2106-3,1200.0
Corpus Uteri,27020,2008,Other Races and Unknown combined,2131-1,26.0
Corpus Uteri,27020,2009,American Indian or Alaska Native,1002-5,25.0
Corpus Uteri,27020,2009,Asian or Pacific Islander,A-PI,103.0
Corpus Uteri,27020,2009,Black or African American,2054-5,199.0
Corpus Uteri,27020,2009,White,2106-3,1227.0
Corpus Uteri,27020,2009,Other Races and Unknown combined,2131-1,19.0
Corpus Uteri,27020,2010,American Indian or Alaska Native,1002-5,24.0
Corpus Uteri,27020,2010,Asian or Pacific Islander,A-PI,108.0
Corpus Uteri,27020,2010,Black or African American,2054-5,180.0
Corpus Uteri,27020,2010,White,2106-3,1188.0
Corpus Uteri,27020,2010,Other Races and Unknown combined,2131-1,25.0
Corpus Uteri,27020,2011,American Indian or Alaska Native,1002-5,26.0
Corpus Uteri,27020,2011,Asian or Pacific Islander,A-PI,114.0
Corpus Uteri,27020,2011,Black or African American,2054-5,183.0
Corpus Uteri,27020,2011,White,2106-3,1253.0
Corpus Uteri,27020,2011,Other Races and Unknown combined,2131-1,27.0
Corpus Uteri,27020,2012,American Indian or Alaska Native,1002-5,34.0
Corpus Uteri,27020,2012,Asian or Pacific Islander,A-PI,119.0
Corpus Uteri,27020,2012,Black or African American,2054-5,199.0
Corpus Uteri,27020,2012,White,2106-3,1291.0
Corpus Uteri,27020,2012,Other Races and Unknown combined,2131-1,28.0
Corpus Uteri,27020,2013,American Indian or Alaska Native,1002-5,32.0
Corpus Uteri,27020,2013,Asian or Pacific Islander,A-PI,142.0
Corpus Uteri,27020,2013,Black or African American,2054-5,206.0
Corpus Uteri,27020,2013,White,2106-3,1199.0
Corpus Uteri,27020,2013,Other Races and Unknown combined,2131-1,30.0
Corpus Uteri,27020,2014,American Indian or Alaska Native,1002-5,31.0
Corpus Uteri,27020,2014,Asian or Pacific Islander,A-PI,135.0
Corpus Uteri,27020,2014,Black or African American,2054-5,205.0
Corpus Uteri,27020,2014,White,2106-3,1418.0
Corpus Uteri,27020,2014,Other Races and Unknown combined,2131-1,43.0
Corpus Uteri,27020,2015,American Indian or Alaska Native,1002-5,23.0
Corpus Uteri,27020,2015,Asian or Pacific Islander,A-PI,147.0
Corpus Uteri,27020,2015,Black or African American,2054-5,242.0
Corpus Uteri,27020,2015,White,2106-3,1474.0
Corpus Uteri,27020,2015,Other Races and Unknown combined,2131-1,38.0
Corpus Uteri,27020,2016,American Indian or Alaska Native,1002-5,29.0
Corpus Uteri,27020,2016,Asian or Pacific Islander,A-PI,140.0
Corpus Uteri,27020,2016,Black or African American,2054-5,240.0
Corpus Uteri,27020,2016,White,2106-3,1482.0
Corpus Uteri,27020,2016,Other Races and Unknown combined,2131-1,46.0
Corpus Uteri,27020,2017,American Indian or Alaska Native,1002-5,23.0
Corpus Uteri,27020,2017,Asian or Pacific Islander,A-PI,166.0
Corpus Uteri,27020,2017,Black or African American,2054-5,243.0
Corpus Uteri,27020,2017,White,2106-3,1501.0
Corpus Uteri,27020,2017,Other Races and Unknown combined,2131-1,51.0
Corpus Uteri,27020,2018,American Indian or Alaska Native,1002-5,36.0
Corpus Uteri,27020,2018,Asian or Pacific Islander,A-PI,196.0
Corpus Uteri,27020,2018,Black or African American,2054-5,210.0
Corpus Uteri,27020,2018,White,2106-3,1552.0
Corpus Uteri,27020,2018,Other Races and Unknown combined,2131-1,53.0
Corpus Uteri,27020,2019,American Indian or Alaska Native,1002-5,43.0
Corpus Uteri,27020,2019,Asian or Pacific Islander,A-PI,204.0
Corpus Uteri,27020,2019,Black or African American,2054-5,232.0
Corpus Uteri,27020,2019,White,2106-3,1558.0
Corpus Uteri,27020,2019,Other Races and Unknown combined,2131-1,74.0
Corpus Uteri,27020,2020,American Indian or Alaska Native,1002-5,39.0
Corpus Uteri,27020,2020,Asian or Pacific Islander,A-PI,174.0
Corpus Uteri,27020,2020,Black or African American,2054-5,223.0
Corpus Uteri,27020,2020,White,2106-3,1438.0
Corpus Uteri,27020,2020,Other Races and Unknown combined,2131-1,71.0
Corpus Uteri,27020,2021,American Indian or Alaska Native,1002-5,38.0
Corpus Uteri,27020,2021,Asian or Pacific Islander,A-PI,198.0
Corpus Uteri,27020,2021,Black or African American,2054-5,214.0
Corpus Uteri,27020,2021,White,2106-3,1608.0
Corpus Uteri,27020,2021,Other Races and Unknown combined,2131-1,97.0
Esophagus,21010,1999,Black or African American,2054-5,17.0
Esophagus,21010,1999,White,2106-3,124.0
Esophagus,21010,2000,White,2106-3,149.0
Esophagus,21010,2001,White,2106-3,134.0
Esophagus,21010,2002,Black or African American,2054-5,19.0
Esophagus,21010,2002,White,2106-3,104.0
Esophagus,21010,2003,Black or African American,2054-5,17.0
Esophagus,21010,2003,White,2106-3,130.0
Esophagus,21010,2004,Black or African American,2054-5,16.0
Esophagus,21010,2004,White,2106-3,134.0
Esophagus,21010,2005,Black or African American,2054-5,16.0
Esophagus,21010,2005,White,2106-3,127.0
Esophagus,21010,2006,White,2106-3,112.0
Esophagus,21010,2007,White,2106-3,129.0
Esophagus,21010,2008,White,2106-3,144.0
Esophagus,21010,2009,White,2106-3,125.0
Esophagus,21010,2010,White,2106-3,107.0
Esophagus,21010,2011,White,2106-3,132.0
Esophagus,21010,2012,White,2106-3,121.0
Esophagus,21010,2013,White,2106-3,120.0
Esophagus,21010,2014,White,2106-3,139.0
Esophagus,21010,2015,Black or African American,2054-5,20.0
Esophagus,21010,2015,White,2106-3,113.0
Esophagus,21010,2016,Black or African American,2054-5,19.0
Esophagus,21010,2016,White,2106-3,133.0
Esophagus,21010,2017,Black or African American,2054-5,16.0
Esophagus,21010,2017,White,2106-3,124.0
Esophagus,21010,2018,Black or African American,2054-5,17.0
Esophagus,21010,2018,White,2106-3,159.0
Esophagus,21010,2019,Black or African American,2054-5,22.0
Esophagus,21010,2019,White,2106-3,153.0
Esophagus,21010,2020,Black or African American,2054-5,19.0
Esophagus,21010,2020,White,2106-3,119.0
Esophagus,21010,2021,Black or African American,2054-5,19.0
Esophagus,21010,2021,White,2106-3,138.0
Gallbladder,21080,1999,White,2106-3,19.0
Gallbladder,21080,2000,White,2106-3,32.0
Gallbladder,21080,2001,White,2106-3,28.0
Gallbladder,21080,2003,White,2106-3,29.0
Gallbladder,21080,2004,White,2106-3,20.0
Gallbladder,21080,2005,White,2106-3,34.0
Gallbladder,21080,2006,White,2106-3,34.0
Gallbladder,21080,2007,White,2106-3,35.0
Gallbladder,21080,2008,White,2106-3,35.0
Gallbladder,21080,2009,White,2106-3,29.0
Gallbladder,21080,2010,White,2106-3,31.0
Gallbladder,21080,2011,White,2106-3,24.0
Gallbladder,21080,2012,White,2106-3,24.0
Gallbladder,21080,2013,White,2106-3,33.0
Gallbladder,21080,2014,White,2106-3,31.0
Gallbladder,21080,2015,White,2106-3,30.0
Gallbladder,21080,2016,White,2106-3,24.0
Gallbladder,21080,2017,White,2106-3,34.0
Gallbladder,21080,2018,White,2106-3,32.0
Gallbladder,21080,2019,White,2106-3,23.0
Gallbladder,21080,2020,White,2106-3,33.0
Gallbladder,21080,2021,Black or African American,2054-5,17.0
Gallbladder,21080,2021,White,2106-3,31.0
Kidney and Renal Pelvis,29020,1999,Asian or Pacific Islander,A-PI,20.0
Kidney and Renal Pelvis,29020,1999,Black or African American,2054-5,168.0
Kidney and Renal Pelvis,29020,1999,White,2106-3,908.0
Kidney and Renal Pelvis,29020,2000,American Indian or Alaska Native,1002-5,16.0
Kidney and Renal Pelvis,29020,2000,Asian or Pacific Islander,A-PI,25.0
Kidney and Renal Pelvis,29020,2000,Black or African American,2054-5,198.0
Kidney and Renal Pelvis,29020,2000,White,2106-3,917.0
Kidney and Renal Pelvis,29020,2001,American Indian or Alaska Native,1002-5,18.0
Kidney and Renal Pelvis,29020,2001,Asian or Pacific Islander,A-PI,32.0
Kidney and Renal Pelvis,29020,2001,Black or African American,2054-5,215.0
Kidney and Renal Pelvis,29020,2001,White,2106-3,1003.0
Kidney and Renal Pelvis,29020,2002,American Indian or Alaska Native,1002-5,16.0
Kidney and Renal Pelvis,29020,2002,Asian or Pacific Islander,A-PI,37.0
Kidney and Renal Pelvis,29020,2002,Black or African American,2054-5,201.0
Kidney and Renal Pelvis,29020,2002,White,2106-3,1059.0
Kidney and Renal Pelvis,29020,2003,American Indian or Alaska Native,1002-5,20.0
Kidney and Renal Pelvis,29020,2003,Asian or Pacific Islander,A-PI,41.0
Kidney and Renal Pelvis,29020,2003,Black or African American,2054-5,206.0
Kidney and Renal Pelvis,29020,2003,White,2106-3,1156.0
Kidney and Renal Pelvis,29020,2004,Asian or Pacific Islander,A-PI,41.0
Kidney and Renal Pelvis,29020,2004,Black or African American,2054-5,238.0
Kidney and Renal Pelvis,29020,2004,White,2106-3,1252.0
Kidney and Renal Pelvis,29020,2004,Other Races and Unknown combined,2131-1,21.0
Kidney and Renal Pelvis,29020,2005,American Indian or Alaska Native,1002-5,22.0
Kidney and Renal Pelvis,29020,2005,Asian or Pacific Islander,A-PI,27.0
Kidney and Renal Pelvis,29020,2005,Black or African American,2054-5,227.0
Kidney and Renal Pelvis,29020,2005,White,2106-3,1313.0
Kidney and Renal Pelvis,29020,2005,Other Races and Unknown combined,2131-1,23.0
Kidney and Renal Pelvis,29020,2006,Asian or Pacific Islander,A-PI,53.0
Kidney and Renal Pelvis,29020,2006,Black or African American,2054-5,275.0
Kidney and Renal Pelvis,29020,2006,White,2106-3,1419.0
Kidney and Renal Pelvis,29020,2006,Other Races and Unknown combined,2131-1,29.0
Kidney and Renal Pelvis,29020,2007,American Indian or Alaska Native,1002-5,38.0
Kidney and Renal Pelvis,29020,2007,Asian or Pacific Islander,A-PI,54.0
Kidney and Renal Pelvis,29020,2007,Black or African American,2054-5,251.0
Kidney and Renal Pelvis,29020,2007,White,2106-3,1498.0
Kidney and Renal Pelvis,29020,2007,Other Races and Unknown combined,2131-1,23.0
Kidney and Renal Pelvis,29020,2008,American Indian or Alaska Native,1002-5,31.0
Kidney and Renal Pelvis,29020,2008,Asian or Pacific Islander,A-PI,63.0
Kidney and Renal Pelvis,29020,2008,Black or African American,2054-5,264.0
Kidney and Renal Pelvis,29020,2008,White,2106-3,1620.0
Kidney and Renal Pelvis,29020,2008,Other Races and Unknown combined,2131-1,30.0
Kidney and Renal Pelvis,29020,2009,American Indian or Alaska Native,1002-5,24.0
Kidney and Renal Pelvis,29020,2009,Asian or Pacific Islander,A-PI,69.0
Kidney and Renal Pelvis,29020,2009,Black or African American,2054-5,319.0
Kidney and Renal Pelvis,29020,2009,White,2106-3,1643.0
Kidney and Renal Pelvis,29020,2009,Other Races and Unknown combined,2131-1,34.0
Kidney and Renal Pelvis,29020,2010,American Indian or Alaska Native,1002-5,40.0
Kidney and Renal Pelvis,29020,2010,Asian or Pacific Islander,A-PI,66.0
Kidney and Renal Pelvis,29020,2010,Black or African American,2054-5,292.0
Kidney and Renal Pelvis,29020,2010,White,2106-3,1738.0
Kidney and Renal Pelvis,29020,2010,Other Races and Unknown combined,2131-1,41.0
Kidney and Renal Pelvis,29020,2011,American Indian or Alaska Native,1002-5,33.0
Kidney and Renal Pelvis,29020,2011,Asian or Pacific Islander,A-PI,71.0
Kidney and Renal Pelvis,29020,2011,Black or African American,2054-5,291.0
Kidney and Renal Pelvis,29020,2011,White,2106-3,1676.0
Kidney and Renal Pelvis,29020,2011,Other Races and Unknown combined,2131-1,33.0
Kidney and Renal Pelvis,29020,2012,American Indian or Alaska Native,1002-5,37.0
Kidney and Renal Pelvis,29020,2012,Asian or Pacific Islander,A-PI,70.0
Kidney and Renal Pelvis,29020,2012,Black or African American,2054-5,301.0
Kidney and Renal Pelvis,29020,2012,White,2106-3,1745.0
Kidney and Renal Pelvis,29020,2012,Other Races and Unknown combined,2131-1,30.0
Kidney and Renal Pelvis,29020,2013,American Indian or Alaska Native,1002-5,32.0
Kidney and Renal Pelvis,29020,2013,Asian or Pacific Islander,A-PI,66.0
Kidney and Renal Pelvis,29020,2013,Black or African American,2054-5,347.0
Kidney and Renal Pelvis,29020,2013,White,2106-3,1831.0
Kidney and Renal Pelvis,29020,2013,Other Races and Unknown combined,2131-1,39.0
Kidney and Renal Pelvis,29020,2014,American Indian or Alaska Native,1002-5,28.0
Kidney and Renal Pelvis,29020,2014,Asian or Pacific Islander,A-PI,70.0
Kidney and Renal Pelvis,29020,2014,Black or African American,2054-5,338.0
Kidney and Renal Pelvis,29020,2014,White,2106-3,1872.0
Kidney and Renal Pelvis,29020,2014,Other Races and Unknown combined,2131-1,59.0
Kidney and Renal Pelvis,29020,2015,American Indian or Alaska Native,1002-5,36.0
Kidney and Renal Pelvis,29020,2015,Asian or Pacific Islander,A-PI,90.0
Kidney and Renal Pelvis,29020,2015,Black or African American,2054-5,376.0
Kidney and Renal Pelvis,29020,2015,White,2106-3,1984.0
Kidney and Renal Pelvis,29020,2015,Other Races and Unknown combined,2131-1,46.0
Kidney and Renal Pelvis,29020,2016,American Indian or Alaska Native,1002-5,57.0
Kidney and Renal Pelvis,29020,2016,Asian or Pacific Islander,A-PI,90.0
Kidney and Renal Pelvis,29020,2016,Black or African American,2054-5,387.0
Kidney and Renal Pelvis,29020,2016,White,2106-3,2072.0
Kidney and Renal Pelvis,29020,2016,Other Races and Unknown combined,2131-1,58.0
Kidney and Renal Pelvis,29020,2017,American Indian or Alaska Native,1002-5,35.0
Kidney and Renal Pelvis,29020,2017,Asian or Pacific Islander,A-PI,98.0
Kidney and Renal Pelvis,29020,2017,Black or African American,2054-5,352.0
Kidney and Renal Pelvis,29020,2017,White,2106-3,1954.0
Kidney and Renal Pelvis,29020,2017,Other Races and Unknown combined,2131-1,55.0
Kidney and Renal Pelvis,29020,2018,American Indian or Alaska Native,1002-5,49.0
Kidney and Renal Pelvis,29020,2018,Asian or Pacific Islander,A-PI,92.0
Kidney and Renal Pelvis,29020,2018,Black or African American,2054-5,370.0
Kidney and Renal Pelvis,29020,2018,White,2106-3,2083.0
Kidney and Renal Pelvis,29020,2018,Other Races and Unknown combined,2131-1,72.0
Kidney and Renal Pelvis,29020,2019,American Indian or Alaska Native,1002-5,54.0
Kidney and Renal Pelvis,29020,2019,Asian or Pacific Islander,A-PI,101.0
Kidney and Renal Pelvis,29020,2019,Black or African American,2054-5,386.0
Kidney and Renal Pelvis,29020,2019,White,2106-3,2138.0
Kidney and Renal Pelvis,29020,2019,Other Races and Unknown combined,2131-1,82.0
Kidney and Renal Pelvis,29020,2020,American Indian or Alaska Native,1002-5,42.0
Kidney and Renal Pelvis,29020,2020,Asian or Pacific Islander,A-PI,75.0
Kidney and Renal Pelvis,29020,2020,Black or African American,2054-5,346.0
Kidney and Renal Pelvis,29020,2020,White,2106-3,1925.0
Kidney and Renal Pelvis,29020,2020,Other Races and Unknown combined,2131-1,66.0
Kidney and Renal Pelvis,29020,2021,American Indian or Alaska Native,1002-5,46.0
Kidney and Renal Pelvis,29020,2021,Asian or Pacific Islander,A-PI,121.0
Kidney and Renal Pelvis,29020,2021,Black or African American,2054-5,349.0
Kidney and Renal Pelvis,29020,2021,White,2106-3,2004.0
Kidney and Renal Pelvis,29020,2021,Other Races and Unknown combined,2131-1,80.0
Larynx,22020,1999,Black or African American,2054-5,21.0
Larynx,22020,1999,White,2106-3,172.0
Larynx,22020,2000,Black or African American,2054-5,21.0
Larynx,22020,2000,White,2106-3,161.0
Larynx,22020,2001,Black or African American,2054-5,20.0
Larynx,22020,2001,White,2106-3,149.0
Larynx,22020,2002,Black or African American,2054-5,26.0
Larynx,22020,2002,White,2106-3,137.0
Larynx,22020,2003,Black or African American,2054-5,16.0
Larynx,22020,2003,White,2106-3,132.0
Larynx,22020,2004,Black or African American,2054-5,17.0
Larynx,22020,2004,White,2106-3,112.0
Larynx,22020,2005,Black or African American,2054-5,21.0
Larynx,22020,2005,White,2106-3,92.0
Larynx,22020,2006,White,2106-3,109.0
Larynx,22020,2007,White,2106-3,107.0
Larynx,22020,2008,White,2106-3,96.0
Larynx,22020,2009,Black or African American,2054-5,19.0
Larynx,22020,2009,White,2106-3,134.0
Larynx,22020,2010,White,2106-3,100.0
Larynx,22020,2011,White,2106-3,90.0
Larynx,22020,2012,Black or African American,2054-5,18.0
Larynx,22020,2012,White,2106-3,102.0
Larynx,22020,2013,Black or African American,2054-5,18.0
Larynx,22020,2013,White,2106-3,86.0
Larynx,22020,2014,White,2106-3,86.0
Larynx,22020,2015,Black or African American,2054-5,22.0
Larynx,22020,2015,White,2106-3,96.0
Larynx,22020,2016,White,2106-3,99.0
Larynx,22020,2017,Black or African American,2054-5,21.0
Larynx,22020,2017,White,2106-3,113.0
Larynx,22020,2018,Black or African American,2054-5,17.0
Larynx,22020,2018,White,2106-3,71.0
Larynx,22020,2019,White,2106-3,102.0
Larynx,22020,2020,White,2106-3,75.0
Larynx,22020,2021,Black or African American,2054-5,16.0
Larynx,22020,2021,White,2106-3,81.0
Leukemias,35011-35043,1999,American Indian or Alaska Native,1002-5,17.0
Leukemias,35011-35043,1999,Asian or Pacific Islander,A-PI,110.0
Leukemias,35011-35043,1999,Black or African American,2054-5,261.0
Leukemias,35011-35043,1999,White,2106-3,1866.0
Leukemias,35011-35043,1999,Other Races and Unknown combined,2131-1,16.0
Leukemias,35011-35043,2000,American Indian or Alaska Native,1002-5,30.0
Leukemias,35011-35043,2000,Asian or Pacific Islander,A-PI,114.0
Leukemias,35011-35043,2000,Black or African American,2054-5,301.0
Leukemias,35011-35043,2000,White,2106-3,1948.0
Leukemias,35011-35043,2000,Other Races and Unknown combined,2131-1,26.0
Leukemias,35011-35043,2001,American Indian or Alaska Native,1002-5,22.0
Leukemias,35011-35043,2001,Asian or Pacific Islander,A-PI,99.0
Leukemias,35011-35043,2001,Black or African American,2054-5,295.0
Leukemias,35011-35043,2001,White,2106-3,1921.0
Leukemias,35011-35043,2001,Other Races and Unknown combined,2131-1,25.0
Leukemias,35011-35043,2002,American Indian or Alaska Native,1002-5,20.0
Leukemias,35011-35043,2002,Asian or Pacific Islander,A-PI,126.0
Leukemias,35011-35043,2002,Black or African American,2054-5,299.0
Leukemias,35011-35043,2002,White,2106-3,1843.0
Leukemias,35011-35043,2002,Other Races and Unknown combined,2131-1,24.0
Leukemias,35011-35043,2003,American Indian or Alaska Native,1002-5,20.0
Leukemias,35011-35043,2003,Asian or Pacific Islander,A-PI,129.0
Leukemias,35011-35043,2003,Black or African American,2054-5,317.0
Leukemias,35011-35043,2003,White,2106-3,1960.0
Leukemias,35011-35043,2003,Other Races and Unknown combined,2131-1,32.0
Leukemias,35011-35043,2004,American Indian or Alaska Native,1002-5,28.0
Leukemias,35011-35043,2004,Asian or Pacific Islander,A-PI,106.0
Leukemias,35011-35043,2004,Black or African American,2054-5,312.0
Leukemias,35011-35043,2004,White,2106-3,1999.0
Leukemias,35011-35043,2004,Other Races and Unknown combined,2131-1,40.0
Leukemias,35011-35043,2005,American Indian or Alaska Native,1002-5,23.0
Leukemias,35011-35043,2005,Asian or Pacific Islander,A-PI,130.0
Leukemias,35011-35043,2005,Black or African American,2054-5,306.0
Leukemias,35011-35043,2005,White,2106-3,1959.0
Leukemias,35011-35043,2005,Other Races and Unknown combined,2131-1,21.0
Leukemias,35011-35043,2006,American Indian or Alaska Native,1002-5,24.0
Leukemias,35011-35043,2006,Asian or Pacific Islander,A-PI,131.0
Leukemias,35011-35043,2006,Black or African American,2054-5,301.0
Leukemias,35011-35043,2006,White,2106-3,2053.0
Leukemias,35011-35043,2006,Other Races and Unknown combined,2131-1,28.0
Leukemias,35011-35043,2007,American Indian or Alaska Native,1002-5,28.0
Leukemias,35011-35043,2007,Asian or Pacific Islander,A-PI,139.0
Leukemias,35011-35043,2007,Black or African American,2054-5,321.0
Leukemias,35011-35043,2007,White,2106-3,2139.0
Leukemias,35011-35043,2007,Other Races and Unknown combined,2131-1,42.0
Leukemias,35011-35043,2008,American Indian or Alaska Native,1002-5,33.0
Leukemias,35011-35043,2008,Asian or Pacific Islander,A-PI,141.0
Leukemias,35011-35043,2008,Black or African American,2054-5,343.0
Leukemias,35011-35043,2008,White,2106-3,2137.0
Leukemias,35011-35043,2008,Other Races and Unknown combined,2131-1,45.0
Leukemias,35011-35043,2009,American Indian or Alaska Native,1002-5,32.0
Leukemias,35011-35043,2009,Asian or Pacific Islander,A-PI,163.0
Leukemias,35011-35043,2009,Black or African American,2054-5,361.0
Leukemias,35011-35043,2009,White,2106-3,2118.0
Leukemias,35011-35043,2009,Other Races and Unknown combined,2131-1,43.0
Leukemias,35011-35043,2010,American Indian or Alaska Native,1002-5,35.0
Leukemias,35011-35043,2010,Asian or Pacific Islander,A-PI,165.0
Leukemias,35011-35043,2010,Black or African American,2054-5,369.0
Leukemias,35011-35043,2010,White,2106-3,2201.0
Leukemias,35011-35043,2010,Other Races and Unknown combined,2131-1,41.0
Leukemias,35011-35043,2011,American Indian or Alaska Native,1002-5,36.0
Leukemias,35011-35043,2011,Asian or Pacific Islander,A-PI,157.0
Leukemias,35011-35043,2011,Black or African American,2054-5,382.0
Leukemias,35011-35043,2011,White,2106-3,2211.0
Leukemias,35011-35043,2011,Other Races and Unknown combined,2131-1,44.0
Leukemias,35011-35043,2012,American Indian or Alaska Native,1002-5,36.0
Leukemias,35011-35043,2012,Asian or Pacific Islander,A-PI,168.0
Leukemias,35011-35043,2012,Black or African American,2054-5,413.0
Leukemias,35011-35043,2012,White,2106-3,2301.0
