Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Groups Code,Sex,Sex Code,Race,Race Code,Count
Breast,26000,2013,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,223.0
Breast,26000,2013,30-34 years,30-34,Female,F,Black or African American,2054-5,512.0
Breast,26000,2013,30-34 years,30-34,Female,F,White,2106-3,2220.0
Breast,26000,2013,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,47.0
Breast,26000,2013,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,54.0
Breast,26000,2013,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,471.0
Breast,26000,2013,35-39 years,35-39,Female,F,Black or African American,2054-5,1063.0
Breast,26000,2013,35-39 years,35-39,Female,F,White,2106-3,4614.0
Breast,26000,2013,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,77.0
Breast,26000,2014,20-24 years,20-24,Female,F,Black or African American,2054-5,55.0
Breast,26000,2014,20-24 years,20-24,Female,F,White,2106-3,140.0
Breast,26000,2014,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,84.0
Breast,26000,2014,25-29 years,25-29,Female,F,Black or African American,2054-5,210.0
Breast,26000,2014,25-29 years,25-29,Female,F,White,2106-3,796.0
Breast,26000,2014,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,16.0
Breast,26000,2014,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,32.0
Breast,26000,2014,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,207.0
Breast,26000,2014,30-34 years,30-34,Female,F,Black or African American,2054-5,539.0
Breast,26000,2014,30-34 years,30-34,Female,F,White,2106-3,2157.0
Breast,26000,2014,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,39.0
Breast,26000,2014,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,59.0
Breast,26000,2014,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,464.0
Breast,26000,2014,35-39 years,35-39,Female,F,Black or African American,2054-5,1033.0
Breast,26000,2014,35-39 years,35-39,Female,F,White,2106-3,4716.0
Breast,26000,2014,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,83.0
Breast,26000,2014,35-39 years,35-39,Male,M,White,2106-3,28.0
Breast,26000,2015,20-24 years,20-24,Female,F,Black or African American,2054-5,47.0
Breast,26000,2015,20-24 years,20-24,Female,F,White,2106-3,112.0
Breast,26000,2015,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,71.0
Breast,26000,2015,25-29 years,25-29,Female,F,Black or African American,2054-5,220.0
Breast,26000,2015,25-29 years,25-29,Female,F,White,2106-3,814.0
Breast,26000,2015,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,16.0
Breast,26000,2015,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,31.0
Breast,26000,2015,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,231.0
Breast,26000,2015,30-34 years,30-34,Female,F,Black or African American,2054-5,569.0
Breast,26000,2015,30-34 years,30-34,Female,F,White,2106-3,2355.0
Breast,26000,2015,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,48.0
Breast,26000,2015,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,51.0
Breast,26000,2015,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,489.0
Breast,26000,2015,35-39 years,35-39,Female,F,Black or African American,2054-5,1056.0
Breast,26000,2015,35-39 years,35-39,Female,F,White,2106-3,4775.0
Breast,26000,2015,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,94.0
Breast,26000,2015,35-39 years,35-39,Male,M,White,2106-3,16.0
Breast,26000,2016,20-24 years,20-24,Female,F,Black or African American,2054-5,57.0
Breast,26000,2016,20-24 years,20-24,Female,F,White,2106-3,119.0
Breast,26000,2016,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,77.0
Breast,26000,2016,25-29 years,25-29,Female,F,Black or African American,2054-5,233.0
Breast,26000,2016,25-29 years,25-29,Female,F,White,2106-3,877.0
Breast,26000,2016,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,31.0
Breast,26000,2016,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,255.0
Breast,26000,2016,30-34 years,30-34,Female,F,Black or African American,2054-5,617.0
Breast,26000,2016,30-34 years,30-34,Female,F,White,2106-3,2449.0
Breast,26000,2016,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,55.0
Breast,26000,2016,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,54.0
Breast,26000,2016,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,484.0
Breast,26000,2016,35-39 years,35-39,Female,F,Black or African American,2054-5,1156.0
Breast,26000,2016,35-39 years,35-39,Female,F,White,2106-3,4837.0
Breast,26000,2016,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,114.0
Breast,26000,2016,35-39 years,35-39,Male,M,White,2106-3,18.0
Breast,26000,2017,20-24 years,20-24,Female,F,Black or African American,2054-5,53.0
Breast,26000,2017,20-24 years,20-24,Female,F,White,2106-3,119.0
Breast,26000,2017,25-29 years,25-29,Female,F,American Indian or Alaska Native,1002-5,17.0
Breast,26000,2017,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,73.0
Breast,26000,2017,25-29 years,25-29,Female,F,Black or African American,2054-5,237.0
Breast,26000,2017,25-29 years,25-29,Female,F,White,2106-3,866.0
Breast,26000,2017,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,18.0
Breast,26000,2017,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,38.0
Breast,26000,2017,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,222.0
Breast,26000,2017,30-34 years,30-34,Female,F,Black or African American,2054-5,560.0
Breast,26000,2017,30-34 years,30-34,Female,F,White,2106-3,2442.0
Breast,26000,2017,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,66.0
Breast,26000,2017,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,55.0
Breast,26000,2017,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,508.0
Breast,26000,2017,35-39 years,35-39,Female,F,Black or African American,2054-5,1107.0
Breast,26000,2017,35-39 years,35-39,Female,F,White,2106-3,4888.0
Breast,26000,2017,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,106.0
Breast,26000,2018,20-24 years,20-24,Female,F,Black or African American,2054-5,43.0
Breast,26000,2018,20-24 years,20-24,Female,F,White,2106-3,139.0
Breast,26000,2018,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,80.0
Breast,26000,2018,25-29 years,25-29,Female,F,Black or African American,2054-5,249.0
Breast,26000,2018,25-29 years,25-29,Female,F,White,2106-3,853.0
Breast,26000,2018,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,18.0
Breast,26000,2018,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,24.0
Breast,26000,2018,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,242.0
Breast,26000,2018,30-34 years,30-34,Female,F,Black or African American,2054-5,589.0
Breast,26000,2018,30-34 years,30-34,Female,F,White,2106-3,2491.0
Breast,26000,2018,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,58.0
Breast,26000,2018,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,54.0
Breast,26000,2018,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,544.0
Breast,26000,2018,35-39 years,35-39,Female,F,Black or African American,2054-5,1096.0
Breast,26000,2018,35-39 years,35-39,Female,F,White,2106-3,5028.0
Breast,26000,2018,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,116.0
Breast,26000,2019,20-24 years,20-24,Female,F,Asian or Pacific Islander,A-PI,17.0
Breast,26000,2019,20-24 years,20-24,Female,F,Black or African American,2054-5,46.0
Breast,26000,2019,20-24 years,20-24,Female,F,White,2106-3,119.0
Breast,26000,2019,25-29 years,25-29,Female,F,American Indian or Alaska Native,1002-5,16.0
Breast,26000,2019,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,74.0
Breast,26000,2019,25-29 years,25-29,Female,F,Black or African American,2054-5,274.0
Breast,26000,2019,25-29 years,25-29,Female,F,White,2106-3,863.0
Breast,26000,2019,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,27.0
Breast,26000,2019,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,27.0
Breast,26000,2019,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,243.0
Breast,26000,2019,30-34 years,30-34,Female,F,Black or African American,2054-5,630.0
Breast,26000,2019,30-34 years,30-34,Female,F,White,2106-3,2460.0
Breast,26000,2019,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,61.0
Breast,26000,2019,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,60.0
Breast,26000,2019,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,566.0
Breast,26000,2019,35-39 years,35-39,Female,F,Black or African American,2054-5,1157.0
Breast,26000,2019,35-39 years,35-39,Female,F,White,2106-3,5291.0
Breast,26000,2019,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,144.0
Breast,26000,2020,20-24 years,20-24,Female,F,Black or African American,2054-5,46.0
Breast,26000,2020,20-24 years,20-24,Female,F,White,2106-3,119.0
Breast,26000,2020,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,79.0
Breast,26000,2020,25-29 years,25-29,Female,F,Black or African American,2054-5,245.0
Breast,26000,2020,25-29 years,25-29,Female,F,White,2106-3,809.0
Breast,26000,2020,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,34.0
Breast,26000,2020,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,26.0
Breast,26000,2020,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,260.0
Breast,26000,2020,30-34 years,30-34,Female,F,Black or African American,2054-5,631.0
Breast,26000,2020,30-34 years,30-34,Female,F,White,2106-3,2409.0
Breast,26000,2020,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,101.0
Breast,26000,2020,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,50.0
Breast,26000,2020,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,537.0
Breast,26000,2020,35-39 years,35-39,Female,F,Black or African American,2054-5,1139.0
Breast,26000,2020,35-39 years,35-39,Female,F,White,2106-3,5003.0
Breast,26000,2020,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,161.0
Breast,26000,2020,35-39 years,35-39,Male,M,White,2106-3,30.0
Breast,26000,2021,20-24 years,20-24,Female,F,Asian or Pacific Islander,A-PI,18.0
Breast,26000,2021,20-24 years,20-24,Female,F,Black or African American,2054-5,37.0
Breast,26000,2021,20-24 years,20-24,Female,F,White,2106-3,137.0
Breast,26000,2021,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,75.0
Breast,26000,2021,25-29 years,25-29,Female,F,Black or African American,2054-5,261.0
Breast,26000,2021,25-29 years,25-29,Female,F,White,2106-3,861.0
Breast,26000,2021,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,32.0
Breast,26000,2021,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,37.0
Breast,26000,2021,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,288.0
Breast,26000,2021,30-34 years,30-34,Female,F,Black or African American,2054-5,646.0
Breast,26000,2021,30-34 years,30-34,Female,F,White,2106-3,2423.0
Breast,26000,2021,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,106.0
Breast,26000,2021,30-34 years,30-34,Male,M,White,2106-3,16.0
Breast,26000,2021,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,62.0
Breast,26000,2021,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,637.0
Breast,26000,2021,35-39 years,35-39,Female,F,Black or African American,2054-5,1105.0
Breast,26000,2021,35-39 years,35-39,Female,F,White,2106-3,5139.0
Breast,26000,2021,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,181.0
Breast,26000,2021,35-39 years,35-39,Male,M,White,2106-3,24.0
Cervix Uteri,27010,1999,20-24 years,20-24,Female,F,Black or African American,2054-5,20.0
Cervix Uteri,27010,1999,20-24 years,20-24,Female,F,White,2106-3,142.0
Cervix Uteri,27010,1999,25-29 years,25-29,Female,F,Black or African American,2054-5,89.0
Cervix Uteri,27010,1999,25-29 years,25-29,Female,F,White,2106-3,579.0
Cervix Uteri,27010,1999,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,21.0
Cervix Uteri,27010,1999,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,27.0
Cervix Uteri,27010,1999,30-34 years,30-34,Female,F,Black or African American,2054-5,183.0
Cervix Uteri,27010,1999,30-34 years,30-34,Female,F,White,2106-3,1059.0
Cervix Uteri,27010,1999,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,17.0
Cervix Uteri,27010,1999,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,16.0
Cervix Uteri,27010,1999,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,44.0
Cervix Uteri,27010,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,238.0
Cervix Uteri,27010,1999,35-39 years,35-39,Female,F,White,2106-3,1410.0
Cervix Uteri,27010,1999,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,24.0
Cervix Uteri,27010,2000,20-24 years,20-24,Female,F,Black or African American,2054-5,22.0
Cervix Uteri,27010,2000,20-24 years,20-24,Female,F,White,2106-3,129.0
Cervix Uteri,27010,2000,25-29 years,25-29,Female,F,Black or African American,2054-5,87.0
Cervix Uteri,27010,2000,25-29 years,25-29,Female,F,White,2106-3,578.0
Cervix Uteri,27010,2000,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,25.0
Cervix Uteri,27010,2000,30-34 years,30-34,Female,F,Black or African American,2054-5,149.0
Cervix Uteri,27010,2000,30-34 years,30-34,Female,F,White,2106-3,1038.0
Cervix Uteri,27010,2000,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,22.0
Cervix Uteri,27010,2000,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,31.0
Cervix Uteri,27010,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,248.0
Cervix Uteri,27010,2000,35-39 years,35-39,Female,F,White,2106-3,1381.0
Cervix Uteri,27010,2000,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,27.0
Cervix Uteri,27010,2001,20-24 years,20-24,Female,F,Black or African American,2054-5,20.0
Cervix Uteri,27010,2001,20-24 years,20-24,Female,F,White,2106-3,106.0
Cervix Uteri,27010,2001,25-29 years,25-29,Female,F,Black or African American,2054-5,78.0
Cervix Uteri,27010,2001,25-29 years,25-29,Female,F,White,2106-3,522.0
Cervix Uteri,27010,2001,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,36.0
Cervix Uteri,27010,2001,30-34 years,30-34,Female,F,Black or African American,2054-5,138.0
Cervix Uteri,27010,2001,30-34 years,30-34,Female,F,White,2106-3,1050.0
Cervix Uteri,27010,2001,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,23.0
Cervix Uteri,27010,2001,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,16.0
Cervix Uteri,27010,2001,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,52.0
Cervix Uteri,27010,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,211.0
Cervix Uteri,27010,2001,35-39 years,35-39,Female,F,White,2106-3,1306.0
Cervix Uteri,27010,2001,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,17.0
Cervix Uteri,27010,2002,20-24 years,20-24,Female,F,Black or African American,2054-5,25.0
Cervix Uteri,27010,2002,20-24 years,20-24,Female,F,White,2106-3,137.0
Cervix Uteri,27010,2002,25-29 years,25-29,Female,F,Black or African American,2054-5,81.0
Cervix Uteri,27010,2002,25-29 years,25-29,Female,F,White,2106-3,475.0
Cervix Uteri,27010,2002,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,19.0
Cervix Uteri,27010,2002,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,30.0
Cervix Uteri,27010,2002,30-34 years,30-34,Female,F,Black or African American,2054-5,154.0
Cervix Uteri,27010,2002,30-34 years,30-34,Female,F,White,2106-3,1021.0
Cervix Uteri,27010,2002,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,17.0
Cervix Uteri,27010,2002,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,35.0
Cervix Uteri,27010,2002,35-39 years,35-39,Female,F,Black or African American,2054-5,208.0
Cervix Uteri,27010,2002,35-39 years,35-39,Female,F,White,2106-3,1226.0
Cervix Uteri,27010,2002,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,18.0
Cervix Uteri,27010,2003,20-24 years,20-24,Female,F,Black or African American,2054-5,20.0
Cervix Uteri,27010,2003,20-24 years,20-24,Female,F,White,2106-3,121.0
Cervix Uteri,27010,2003,25-29 years,25-29,Female,F,Black or African American,2054-5,94.0
Cervix Uteri,27010,2003,25-29 years,25-29,Female,F,White,2106-3,443.0
Cervix Uteri,27010,2003,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,50.0
Cervix Uteri,27010,2003,30-34 years,30-34,Female,F,Black or African American,2054-5,143.0
Cervix Uteri,27010,2003,30-34 years,30-34,Female,F,White,2106-3,983.0
Cervix Uteri,27010,2003,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,20.0
Cervix Uteri,27010,2003,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,38.0
Cervix Uteri,27010,2003,35-39 years,35-39,Female,F,Black or African American,2054-5,232.0
Cervix Uteri,27010,2003,35-39 years,35-39,Female,F,White,2106-3,1205.0
Cervix Uteri,27010,2003,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,29.0
Cervix Uteri,27010,2004,20-24 years,20-24,Female,F,Black or African American,2054-5,30.0
Cervix Uteri,27010,2004,20-24 years,20-24,Female,F,White,2106-3,115.0
Cervix Uteri,27010,2004,25-29 years,25-29,Female,F,Black or African American,2054-5,70.0
Cervix Uteri,27010,2004,25-29 years,25-29,Female,F,White,2106-3,435.0
Cervix Uteri,27010,2004,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,31.0
Cervix Uteri,27010,2004,30-34 years,30-34,Female,F,Black or African American,2054-5,153.0
Cervix Uteri,27010,2004,30-34 years,30-34,Female,F,White,2106-3,989.0
Cervix Uteri,27010,2004,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,16.0
Cervix Uteri,27010,2004,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,45.0
Cervix Uteri,27010,2004,35-39 years,35-39,Female,F,Black or African American,2054-5,205.0
Cervix Uteri,27010,2004,35-39 years,35-39,Female,F,White,2106-3,1184.0
Cervix Uteri,27010,2004,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,19.0
Cervix Uteri,27010,2005,20-24 years,20-24,Female,F,Black or African American,2054-5,27.0
Cervix Uteri,27010,2005,20-24 years,20-24,Female,F,White,2106-3,140.0
Cervix Uteri,27010,2005,25-29 years,25-29,Female,F,Black or African American,2054-5,73.0
Cervix Uteri,27010,2005,25-29 years,25-29,Female,F,White,2106-3,433.0
Cervix Uteri,27010,2005,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,34.0
Cervix Uteri,27010,2005,30-34 years,30-34,Female,F,Black or African American,2054-5,114.0
Cervix Uteri,27010,2005,30-34 years,30-34,Female,F,White,2106-3,972.0
Cervix Uteri,27010,2005,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,20.0
Cervix Uteri,27010,2005,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,17.0
Cervix Uteri,27010,2005,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,48.0
Cervix Uteri,27010,2005,35-39 years,35-39,Female,F,Black or African American,2054-5,202.0
Cervix Uteri,27010,2005,35-39 years,35-39,Female,F,White,2106-3,1222.0
Cervix Uteri,27010,2005,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,26.0
Cervix Uteri,27010,2006,20-24 years,20-24,Female,F,Black or African American,2054-5,21.0
Cervix Uteri,27010,2006,20-24 years,20-24,Female,F,White,2106-3,113.0
Cervix Uteri,27010,2006,25-29 years,25-29,Female,F,Black or African American,2054-5,60.0
Cervix Uteri,27010,2006,25-29 years,25-29,Female,F,White,2106-3,473.0
Cervix Uteri,27010,2006,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,39.0
Cervix Uteri,27010,2006,30-34 years,30-34,Female,F,Black or African American,2054-5,135.0
Cervix Uteri,27010,2006,30-34 years,30-34,Female,F,White,2106-3,859.0
Cervix Uteri,27010,2006,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,18.0
Cervix Uteri,27010,2006,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,17.0
Cervix Uteri,27010,2006,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,60.0
Cervix Uteri,27010,2006,35-39 years,35-39,Female,F,Black or African American,2054-5,182.0
Cervix Uteri,27010,2006,35-39 years,35-39,Female,F,White,2106-3,1249.0
Cervix Uteri,27010,2006,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,26.0
Cervix Uteri,27010,2007,20-24 years,20-24,Female,F,Black or African American,2054-5,17.0
Cervix Uteri,27010,2007,20-24 years,20-24,Female,F,White,2106-3,108.0
Cervix Uteri,27010,2007,25-29 years,25-29,Female,F,Black or African American,2054-5,70.0
Cervix Uteri,27010,2007,25-29 years,25-29,Female,F,White,2106-3,448.0
Cervix Uteri,27010,2007,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,25.0
Cervix Uteri,27010,2007,30-34 years,30-34,Female,F,Black or African American,2054-5,155.0
Cervix Uteri,27010,2007,30-34 years,30-34,Female,F,White,2106-3,818.0
Cervix Uteri,27010,2007,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,16.0
Cervix Uteri,27010,2007,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,62.0
Cervix Uteri,27010,2007,35-39 years,35-39,Female,F,Black or African American,2054-5,178.0
Cervix Uteri,27010,2007,35-39 years,35-39,Female,F,White,2106-3,1278.0
Cervix Uteri,27010,2007,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,26.0
Cervix Uteri,27010,2008,20-24 years,20-24,Female,F,Black or African American,2054-5,24.0
Cervix Uteri,27010,2008,20-24 years,20-24,Female,F,White,2106-3,101.0
Cervix Uteri,27010,2008,25-29 years,25-29,Female,F,Black or African American,2054-5,73.0
Cervix Uteri,27010,2008,25-29 years,25-29,Female,F,White,2106-3,474.0
Cervix Uteri,27010,2008,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,18.0
Cervix Uteri,27010,2008,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,44.0
Cervix Uteri,27010,2008,30-34 years,30-34,Female,F,Black or African American,2054-5,128.0
Cervix Uteri,27010,2008,30-34 years,30-34,Female,F,White,2106-3,876.0
Cervix Uteri,27010,2008,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,55.0
Cervix Uteri,27010,2008,35-39 years,35-39,Female,F,Black or African American,2054-5,192.0
Cervix Uteri,27010,2008,35-39 years,35-39,Female,F,White,2106-3,1203.0
Cervix Uteri,27010,2008,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,30.0
Cervix Uteri,27010,2009,20-24 years,20-24,Female,F,Black or African American,2054-5,29.0
Cervix Uteri,27010,2009,20-24 years,20-24,Female,F,White,2106-3,114.0
Cervix Uteri,27010,2009,25-29 years,25-29,Female,F,Black or African American,2054-5,83.0
Cervix Uteri,27010,2009,25-29 years,25-29,Female,F,White,2106-3,486.0
Cervix Uteri,27010,2009,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,26.0
Cervix Uteri,27010,2009,30-34 years,30-34,Female,F,Black or African American,2054-5,135.0
Cervix Uteri,27010,2009,30-34 years,30-34,Female,F,White,2106-3,856.0
Cervix Uteri,27010,2009,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,28.0
Cervix Uteri,27010,2009,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,71.0
Cervix Uteri,27010,2009,35-39 years,35-39,Female,F,Black or African American,2054-5,185.0
Cervix Uteri,27010,2009,35-39 years,35-39,Female,F,White,2106-3,1256.0
Cervix Uteri,27010,2009,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,19.0
Cervix Uteri,27010,2010,20-24 years,20-24,Female,F,Black or African American,2054-5,19.0
Cervix Uteri,27010,2010,20-24 years,20-24,Female,F,White,2106-3,97.0
Cervix Uteri,27010,2010,25-29 years,25-29,Female,F,Black or African American,2054-5,75.0
Cervix Uteri,27010,2010,25-29 years,25-29,Female,F,White,2106-3,431.0
Cervix Uteri,27010,2010,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,45.0
Cervix Uteri,27010,2010,30-34 years,30-34,Female,F,Black or African American,2054-5,142.0
Cervix Uteri,27010,2010,30-34 years,30-34,Female,F,White,2106-3,820.0
Cervix Uteri,27010,2010,35-39 years,35-39,Female,F,American Indian or Alaska Native,1002-5,16.0
Cervix Uteri,27010,2010,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,63.0
Cervix Uteri,27010,2010,35-39 years,35-39,Female,F,Black or African American,2054-5,190.0
Cervix Uteri,27010,2010,35-39 years,35-39,Female,F,White,2106-3,1095.0
Cervix Uteri,27010,2010,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,30.0
Cervix Uteri,27010,2011,20-24 years,20-24,Female,F,Black or African American,2054-5,18.0
Cervix Uteri,27010,2011,20-24 years,20-24,Female,F,White,2106-3,113.0
Cervix Uteri,27010,2011,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,20.0
Cervix Uteri,27010,2011,25-29 years,25-29,Female,F,Black or African American,2054-5,64.0
Cervix Uteri,27010,2011,25-29 years,25-29,Female,F,White,2106-3,432.0
Cervix Uteri,27010,2011,30-34 years,30-34,Female,F,American Indian or Alaska Native,1002-5,16.0
Cervix Uteri,27010,2011,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,30.0
Cervix Uteri,27010,2011,30-34 years,30-34,Female,F,Black or African American,2054-5,136.0
Cervix Uteri,27010,2011,30-34 years,30-34,Female,F,White,2106-3,780.0
Cervix Uteri,27010,2011,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,62.0
Cervix Uteri,27010,2011,35-39 years,35-39,Female,F,Black or African American,2054-5,154.0
Cervix Uteri,27010,2011,35-39 years,35-39,Female,F,White,2106-3,1071.0
Cervix Uteri,27010,2011,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,28.0
Cervix Uteri,27010,2012,20-24 years,20-24,Female,F,Black or African American,2054-5,22.0
Cervix Uteri,27010,2012,20-24 years,20-24,Female,F,White,2106-3,120.0
Cervix Uteri,27010,2012,25-29 years,25-29,Female,F,Black or African American,2054-5,66.0
Cervix Uteri,27010,2012,25-29 years,25-29,Female,F,White,2106-3,395.0
Cervix Uteri,27010,2012,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,32.0
Cervix Uteri,27010,2012,30-34 years,30-34,Female,F,Black or African American,2054-5,153.0
